projection_status,diagnostic_layer,diagnostic_class,edit_signature,target_count,source_type_count,total_occurrences,count_2020,count_2021,count_2022,count_2023,count_2024,count_2025,example_targets_json
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:P;SUB:B>Y;RULE_ONLY:EU_G,135,135,2971,489,542,415,347,618,560,"[""펴늬점"", ""펴늬"", ""펴늬상"", ""펴늬시설"", ""펴늬주의""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:Y;SUB:NG>N,929,929,2537,328,581,413,305,464,446,"[""벼란간"", ""녀닌가"", ""장녀닌가"", ""항년까지"", ""재장녀닌가""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,SUB:NG>N;RULE_ONLY:Y,407,407,2401,354,360,277,487,336,587,"[""잔그뉵"", ""인신공격썽"", ""군기교육때"", ""민간자격쯩"", ""한구거교원""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:D;SUB:JJ>Y,2,2,2365,278,229,297,254,445,862,"[""읻쬬"", ""읻쪋""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:T;SUB:D>W,472,472,2152,212,388,427,305,316,504,"[""튀기몯"", ""닥튀김"", ""로보톼"", ""으너튀김"", ""튀기무동""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,SUB:NG>G;SUB:N>L,418,418,2095,220,466,289,322,380,418,"[""독리분동"", ""적립씩"", ""독리분동가"", ""독립씸"", ""녹로키""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,SUB:M>N;RULE_ONLY:Y,211,212,1963,202,531,287,233,372,338,"[""단백찔셰이크"", ""선바녕"", ""신변잡끼"", ""신붕면"", ""선부냥""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,single_rule_unit_missing_from_candidate,RULE_ONLY:B,468,469,1957,185,397,358,277,316,424,"[""덥빱"", ""집빱"", ""압빡"", ""옥탑빵"", ""컵빱""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:G;SUB:NG>L;SUB:N>Y,414,414,1874,244,515,244,191,315,365,"[""수익류리"", ""기억려기"", ""폭려글"", ""폭력쩌긴"", ""폭려기""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:W;SUB:NG>N,515,515,1758,174,371,307,262,334,310,"[""관객썩"", ""확씬감"", ""환급끔"", ""귀찬코"", ""귀찬케""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:CH;SUB:J>W;RULE_ONLY:Y,287,287,1714,177,449,332,214,296,246,"[""촤령"", ""촤령소"", ""수중촤령"", ""촤령기"", ""촤령을""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:Y;RULE_ONLY:L;SUB:N>Y,211,211,1697,149,449,307,219,285,288,"[""경려기"", ""경려글"", ""영향려기"", ""영향려글"", ""경력또""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:S;SUB:SS>Y;SUB:B>P,114,114,1423,18,289,192,219,302,403,"[""쇼핑모를"", ""쇼핑모레서"", ""쇼핑모리"", ""쇼핑모레"", ""쇼핑모른""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,single_rule_unit_missing_from_candidate,RULE_ONLY:H,229,229,1321,237,135,141,101,363,344,"[""시러핻떤"", ""시러해써"", ""시러해써요"", ""시러핻꼬"", ""시러핻꺼든""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:W;SUB:E>AE,406,406,1311,182,284,243,173,206,223,"[""흑뙈지"", ""멛뙈지"", ""꼳뙈지"", ""홷때"", ""홷뿔""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,SUB:J>D;RULE_ONLY:Y,147,149,1151,114,244,230,131,213,219,"[""맏꾜대"", ""맏쬬"", ""맏껴"", ""맏껴야"", ""맏껴서""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,single_rule_unit_missing_from_candidate,RULE_ONLY:D,175,175,1133,149,303,195,140,164,182,"[""이곧쩌곧"", ""녿치다"", ""부딛치다"", ""부딛침"", ""녿치고""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,SUB:NG>N;RULE_ONLY:EU_G,29,29,1091,54,381,70,66,207,313,"[""인가늬"", ""한구기늬"", ""순가늬"", ""친구부늬"", ""한궁마늬""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,SUB:JJ>D;RULE_ONLY:N,31,32,1087,69,362,243,150,168,95,"[""읻껜네"", ""읻껜는데"", ""읻껜네요"", ""읻껜니"", ""읻껜나""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,SUB:NG>N;RULE_ONLY:W,340,340,1051,192,302,104,131,176,146,"[""한구괴대"", ""불근귀거북"", ""윤곽썬"", ""인궈늘"", ""인궈니""]"
hold_candidate_only_deletion_requires_policy,substantive_difference_candidate,single_candidate_unit_extra,CANDIDATE_ONLY:I,182,183,1028,66,163,126,166,216,291,"[""갑쌍선"", ""갑쌍샘"", ""밥쌍머리"", ""캡싸이신"", ""곱쓸""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:P;SUB:B>Y;SUB:NG>N,81,81,910,156,80,84,168,112,310,"[""편곡짜"", ""펴닌가요"", ""펴니신가요"", ""펴닌가"", ""편고글""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,SUB:NG>N;SUB:NG>G,120,121,881,110,183,143,114,176,155,"[""한국씨리즈"", ""인구학짜"", ""전국씨대"", ""한국꺼래소"", ""한국쩐쟁""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,multiple_segment_count_difference,RULE_ONLY:D;RULE_ONLY:W,113,113,880,92,231,154,119,157,127,"[""늗춰지다"", ""맏춰야"", ""갇춰야"", ""갇춰진"", ""맏춰야지""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:B;SUB:M>L;SUB:N>Y,175,175,867,56,223,77,51,202,258,"[""입려글"", ""입려캐"", ""답례푸믈"", ""입려기"", ""시럽류리""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:Y;SUB:M>N,180,180,864,122,194,127,123,121,177,"[""장년부터"", ""년바께"", ""항년부터"", ""장년보다"", ""장년보다는""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:W;RULE_ONLY:G;SUB:NG>L;SUB:N>Y,42,42,837,57,271,111,85,166,147,"[""확류리"", ""확류른"", ""확률저그로"", ""확류를"", ""회복려기""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,SUB:M>N;SUB:NG>N,96,96,814,72,196,124,85,168,169,"[""이런반구"", ""인는가"", ""인는게"", ""인는가에"", ""인는가요""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,multiple_segment_count_difference,RULE_ONLY:G;RULE_ONLY:W,177,177,809,82,186,169,90,130,152,"[""체육꽌"", ""직꽌"", ""수족꽌"", ""복꿘"", ""식꿘""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,SUB:NG>G;RULE_ONLY:Y;RULE_ONLY:W,59,59,805,92,41,62,126,207,277,"[""학꾜생활"", ""역싸교육꽈"", ""학꾜생화를"", ""학꾜생화레"", ""학꾜생화리""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,SUB:NG>N;RULE_ONLY:N,97,97,782,84,177,136,128,153,104,"[""안켄나"", ""친구연는데"", ""안켄니"", ""신기핸는데"", ""안켄네""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,SUB:M>B;SUB:N>L,101,101,652,37,191,94,82,91,157,"[""답씹리"", ""갑로늘박"", ""합리저긴"", ""합리저그로"", ""합리저기고""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,multiple_segment_count_difference,RULE_ONLY:Y;RULE_ONLY:G,73,73,644,123,146,54,98,84,139,"[""벽꺼리"", ""뾰족꾸두"", ""골격끈"", ""교유칵깨론"", ""구룍깜""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:P;SUB:B>Y;SUB:N>NG,117,117,620,48,87,76,66,84,259,"[""평생직짱"", ""평저믈"", ""평저미"", ""평생직짱이라는"", ""수평저긴""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,single_cross_group_substitution,SUB:N>L,252,252,601,63,157,85,70,88,138,"[""궁무총리"", ""비영리버빈"", ""중리빈"", ""성리비"", ""장르드리""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:Y;RULE_ONLY:NG;SUB:M>P;SUB:B>Y,71,71,582,60,112,112,81,97,120,"[""형펴넙씨"", ""형펴니"", ""교통펴니"", ""형펴네"", ""교통펴는""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:P;SUB:B>Y;RULE_ONLY:N,85,85,553,75,112,88,93,82,103,"[""펴니언는데"", ""불편핸는데"", ""편핸는데"", ""목표연는데"", ""불편해썬는데""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:K;SUB:G>W;SUB:E>AE,118,119,520,38,118,81,68,131,84,"[""쾌속썬"", ""쾌속쩡"", ""쾌저칸"", ""쾌가미"", ""쾌저카고""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:CH;SUB:J>W;RULE_ONLY:EU_G,15,15,510,60,155,62,50,77,106,"[""최소하늬"", ""최서늬"", ""최그늬"", ""최대하늬"", ""최시늬""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,multiple_segment_count_difference,RULE_ONLY:G;RULE_ONLY:L,42,42,447,81,109,59,44,65,89,"[""막껄리"", ""생막껄리"", ""막껄리를"", ""막껄리가"", ""막껄리도""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:W;SUB:M>N,95,95,430,57,61,59,98,68,87,"[""하권비"", ""과민바능"", ""지권부니"", ""지권분드리"", ""하권비가""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,SUB:NG>N;SUB:NG>N,186,186,427,63,85,58,57,84,80,"[""안켄는가"", ""친근가미"", ""친근가믈"", ""순간만크믄"", ""인간극짱""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,multiple_segment_count_difference,RULE_ONLY:D;RULE_ONLY:Y,78,78,413,43,145,96,33,35,61,"[""녿치면"", ""녿치며는"", ""녿쳐써"", ""녿쳗떤"", ""녿쳐쓸""]"
hold_candidate_only_deletion_requires_policy,substantive_difference_candidate,multiple_segment_count_difference,RULE_ONLY:Y;CANDIDATE_ONLY:Y,28,28,410,31,83,56,93,110,37,"[""자격쯩은"", ""부자굥은"", ""그뮹은"", ""이명웅이랑"", ""보굥은""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:W;RULE_ONLY:L;SUB:N>Y,23,23,409,28,72,38,60,101,110,"[""화룡"", ""재화룡"", ""활동려기"", ""옥쑤수불검화정량"", ""황령사늘""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,single_rule_unit_missing_from_candidate,RULE_ONLY:W,190,190,408,35,154,58,39,54,68,"[""자퐈"", ""합뻐퐈"", ""고그퐈"", ""득쩌뫙"", ""석쐬""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,SUB:M>NG;SUB:NG>N,98,98,391,54,85,71,62,61,58,"[""당분가는"", ""방버비라든가"", ""고통반는"", ""처방반는"", ""행보칸가""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,multiple_segment_count_difference,RULE_ONLY:W;RULE_ONLY:G,109,109,379,35,113,85,53,58,35,"[""광역뻐스"", ""과학꼬"", ""확꼬히"", ""확꼬하다"", ""과낙꾸청""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:W;SUB:NG>N;RULE_ONLY:W,90,90,379,49,44,88,52,53,93,"[""과학끼수린공제회"", ""관광객뜨리"", ""관광개기"", ""관광객뜰도"", ""관광개글""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:N;SUB:M>P;SUB:B>Y,72,72,377,33,66,49,56,68,105,"[""마즌편"", ""식딴표"", ""단편저긴"", ""마즌펴네"", ""단편저그로""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:NG;SUB:N>CH;SUB:J>W,43,43,361,28,58,38,41,60,136,"[""성취가믈"", ""성취가미"", ""성취가믄"", ""성취가미나"", ""성취가미라는""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:Y;RULE_ONLY:K;SUB:G>W,67,67,358,17,70,187,19,21,44,"[""벼콰"", ""무려콰"", ""암벼콰"", ""겨콰"", ""현대배콰점""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:Y;SUB:N>NG;RULE_ONLY:L;SUB:N>Y,32,32,354,30,103,64,50,43,64,"[""경쟁류리"", ""경쟁려기"", ""경쟁려글"", ""경쟁류를"", ""경쟁력또""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:Y;RULE_ONLY:Y;RULE_ONLY:G;SUB:NG>L;SUB:N>Y,17,17,341,69,56,64,41,51,60,"[""며녁려기"", ""며녁력"", ""며녁려글"", ""며녁력또"", ""며녁려게""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:G;RULE_ONLY:H;SUB:K>Y,86,86,337,36,96,36,25,82,62,"[""억혀"", ""박혀"", ""박혀진"", ""박혀지지"", ""박혀야""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:L;SUB:NG>N,242,243,326,36,76,53,44,49,68,"[""넫플릭쓰라든가"", ""불리수거라든가"", ""놀란거리가"", ""클래시기라든가"", ""올라인만큼""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:P;SUB:B>Y;RULE_ONLY:W,115,115,292,41,53,33,57,37,71,"[""흐펼귀"", ""컴퓨터공학꽈"", ""평화롭따"", ""제작빨표회"", ""컴퓨터하권""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:K;SUB:G>W;RULE_ONLY:W,86,87,280,28,75,23,34,55,65,"[""서쾨화"", ""트콰된"", ""아콰되는"", ""아콰될"", ""트콰되어""]"
hold_candidate_only_deletion_requires_policy,substantive_difference_candidate,mixed_or_cross_group_difference,CANDIDATE_ONLY:D;SUB:Y>S,28,28,275,10,60,34,36,62,73,"[""오싀"", ""로보싀"", ""인터네싀"", ""날거싀"", ""버서싀""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,SUB:JJ>D;RULE_ONLY:L,9,9,267,27,55,37,48,52,48,"[""읻낄래"", ""읻따길래"", ""읻껄랑"", ""읻껄랑요"", ""읻꺼들랑""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,SUB:NG>N;SUB:N>NG,42,42,261,36,65,46,35,41,38,"[""사린강도"", ""한구캉공대"", ""친구드리랑도"", ""인공저그로"", ""인공저긴""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,SUB:N>NG;RULE_ONLY:G,36,36,260,65,45,31,23,25,71,"[""정책쌍"", ""정책썽"", ""충족깜"", ""정책또"", ""정책뜨리""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,single_cross_group_substitution,SUB:D>S,111,111,254,18,33,25,42,40,96,"[""이슈드리"", ""기어카셔야"", ""이슈드를"", ""바드셔야"", ""생가카셔야""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,SUB:M>N;RULE_ONLY:Y;RULE_ONLY:Y,19,19,251,29,44,28,38,54,58,"[""선별질료소"", ""인냐면"", ""인냐며는"", ""인냐면서"", ""인느냐면""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,multiple_segment_count_difference,RULE_ONLY:Y;RULE_ONLY:Y,99,99,250,35,40,37,37,48,53,"[""혀라뱍"", ""혀뱍"", ""혀랍꼐"", ""갸욷꺄욷"", ""고혀라뱍""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:CH;SUB:J>W;SUB:N>NG,31,31,241,26,47,28,54,48,38,"[""최종저그로"", ""최종저긴"", ""최종저그로는"", ""취준생드리"", ""자취생드리""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:Y;RULE_ONLY:G;SUB:NG>L;SUB:N>Y,37,37,239,36,69,51,29,33,21,"[""그뉵량이"", ""그뉵량을"", ""그뉵량"", ""그뉵량도"", ""그뉵량은""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,SUB:JJ>D;SUB:NG>N,13,13,229,31,54,30,33,40,41,"[""읻따든가"", ""읻뜬가"", ""읻따던가"", ""읻따는게"", ""읻따라든가""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,SUB:N>NG;SUB:NG>N,161,161,229,32,66,35,24,41,31,"[""정채기라든가"", ""상다미라든가"", ""장저미라든가"", ""중도긴가"", ""안정저긴가""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:N;SUB:NG>N,52,52,228,37,68,25,23,38,37,"[""옌날만큼"", ""옌날만크믄"", ""건는다든가"", ""옌나린가"", ""끈나는구나""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:P;SUB:B>Y;RULE_ONLY:Y;RULE_ONLY:EU_G,8,8,227,5,181,5,4,11,21,"[""표혀늬"", ""표며늬"", ""평양냉며늬"", ""평규늬"", ""편겨늬""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:K;SUB:G>Y,71,71,224,38,54,35,12,35,50,"[""시켸"", ""트켸"", ""나컁"", ""부컁"", ""트켸를""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:Y;SUB:NG>G,71,71,220,10,25,34,26,46,79,"[""혁씬"", ""새벽짬"", ""저녁꺼리"", ""저녁쌍"", ""혁씬도시""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,SUB:D>T;RULE_ONLY:EO,31,31,212,12,41,34,63,26,36,"[""티뭔"", ""티뭔드리"", ""티뭔들"", ""티뭔드를"", ""티뭔드리랑""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:T;SUB:D>Y;RULE_ONLY:Y,89,89,210,28,50,20,33,30,49,"[""부텨져"", ""이텨져"", ""무텨져"", ""버텨쓰면"", ""꼬텨져""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:P;SUB:B>Y;SUB:M>N,54,54,205,23,47,9,49,45,32,"[""편뱅나무"", ""평안북또"", ""남편부니"", ""편파저긴"", ""남편부는""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,multiple_segment_count_difference,RULE_ONLY:D;RULE_ONLY:W;RULE_ONLY:Y,26,26,202,14,48,51,23,45,21,"[""갇춰져"", ""갇춰진다면"", ""갇춰지면"", ""맏춰야죠"", ""맏춰지면""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,multiple_segment_count_difference,RULE_ONLY:H;RULE_ONLY:N,21,21,200,30,32,26,25,45,42,"[""시러핸는데"", ""시러해썬는데"", ""다핸는데"", ""다행이언는데"", ""힘드러핸는데""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:Y;RULE_ONLY:B;SUB:M>L;SUB:N>Y,44,44,185,27,29,31,28,33,37,"[""협려글"", ""협려캐서"", ""협려캐"", ""협려기"", ""협려카는""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:Y;SUB:K>G;RULE_ONLY:W,45,46,181,28,28,25,24,37,39,"[""교육끼관"", ""교육꽈"", ""교육꽈를"", ""교육꽈에"", ""교육꽈가""]"
hold_no_unanimous_exact_context_donor,substantive_difference_candidate,mixed_or_cross_group_difference,RULE_ONLY:Y;SUB:N>L,44,44,180,12,11,12,13,101,31,"[""휴양리믈"", ""휴양리미"", ""휴양리믄"", ""휴양리메"", ""휴양리므로""]"
