target_token,token_position_1based,utt_id,year,session_id,dialogue_id,speaker_id,form,original_form,start,end,note,pron_reference_form,pron_reference_hangul,pron_reference_source,pron_reference_status,source_search_master_csv,raw_json_path,raw_json_form,raw_json_original_form,raw_json_dialogue_id,raw_json_speaker_id,raw_json_start,raw_json_end,raw_json_note,raw_json_match_status
읊는다잖아요,7,SDRW2300000337.1.1.142,2023,SDRW2300000337,SDRW2300000337.1,SD2300313,원래 속담에 서당개가 3년이면 풍월을 읊는다잖아요.,원래 속담에 서당개가 삼 년이면 풍월을 읊는다잖아요.,289.25618,293.20031,,원래 속담에 서당개가 삼 년이면 풍월을 읊는다잖아요.,월래 속따메 서당개가 삼 녀니면 풍워를 음는다자나요,original_form_placeholder_resolution,resolved_original_form,D:\10_LAYERS\05_search_master_pre_mfa_staging\pre_mfa_v1_20260725\2023\SDRW2300000337.csv,D:\00_RAW\dialogue_json\NIKL_DIALOGUE_2023_v1.1\NIKL_DIALOGUE_2023_v1.1\SDRW2300000337.json,원래 속담에 서당개가 3년이면 풍월을 읊는다잖아요.,원래 속담에 서당개가 삼 년이면 풍월을 읊는다잖아요.,SDRW2300000337.1,SD2300313,289.25618,293.20031,,exact
읊는,12,SDRW2300000337.1.1.143,2023,SDRW2300000337,SDRW2300000337.1,SD2300313,그래서 아마 복진이도 이름처럼 복이 많아 가지고 3년 되니까 풍월을 읊는 강아지가 된 거 같아서 너무 예쁜 거 같아요.,그서 아마 복진이도 이름처럼 복이 많아 가지고 삼 년 되니까 풍월을 읊는 강아지가 된 거 같아서 너무 예쁜 거 같아요.,293.29619,300.8012,,그서 아마 복진이도 이름처럼 복이 많아 가지고 삼 년 되니까 풍월을 읊는 강아지가 된 거 같아서 너무 예쁜 거 같아요.,그서 아마 복찌니도 이름처럼 보기 마나 가지고 삼 년 되니까 풍워를 음는 강아지가 된 거 가타서 너무 예쁜 거 가타요,original_form_placeholder_resolution,resolved_original_form,D:\10_LAYERS\05_search_master_pre_mfa_staging\pre_mfa_v1_20260725\2023\SDRW2300000337.csv,D:\00_RAW\dialogue_json\NIKL_DIALOGUE_2023_v1.1\NIKL_DIALOGUE_2023_v1.1\SDRW2300000337.json,그래서 아마 복진이도 이름처럼 복이 많아 가지고 3년 되니까 풍월을 읊는 강아지가 된 거 같아서 너무 예쁜 거 같아요.,그서 아마 복진이도 이름처럼 복이 많아 가지고 삼 년 되니까 풍월을 읊는 강아지가 된 거 같아서 너무 예쁜 거 같아요.,SDRW2300000337.1,SD2300313,293.29619,300.8012,,exact
읊으려면,2,SDRW2300001040.1.1.293,2023,SDRW2300001040,SDRW2300001040.1,SD2301139,쭉 읊으려면 읊을 수 있어.,쭉 읊으려면 읊을 수 있어.,607.63196,609.39696,,쭉 읊으려면 읊을 수 있어.,쭉 을프려면 을플 수 이써,form_rule_prediction,resolved_form,D:\10_LAYERS\05_search_master_pre_mfa_staging\pre_mfa_v1_20260725\2023\SDRW2300001040.csv,D:\00_RAW\dialogue_json\NIKL_DIALOGUE_2023_v1.1\NIKL_DIALOGUE_2023_v1.1\SDRW2300001040.json,쭉 읊으려면 읊을 수 있어.,쭉 읊으려면 읊을 수 있어.,SDRW2300001040.1,SD2301139,607.63196,609.39696,,exact
읊을,3,SDRW2300001040.1.1.293,2023,SDRW2300001040,SDRW2300001040.1,SD2301139,쭉 읊으려면 읊을 수 있어.,쭉 읊으려면 읊을 수 있어.,607.63196,609.39696,,쭉 읊으려면 읊을 수 있어.,쭉 을프려면 을플 수 이써,form_rule_prediction,resolved_form,D:\10_LAYERS\05_search_master_pre_mfa_staging\pre_mfa_v1_20260725\2023\SDRW2300001040.csv,D:\00_RAW\dialogue_json\NIKL_DIALOGUE_2023_v1.1\NIKL_DIALOGUE_2023_v1.1\SDRW2300001040.json,쭉 읊으려면 읊을 수 있어.,쭉 읊으려면 읊을 수 있어.,SDRW2300001040.1,SD2301139,607.63196,609.39696,,exact
읊어줄까,2,SDRW2300001040.1.1.298,2023,SDRW2300001040,SDRW2300001040.1,SD2301139,다 읊어줄까?,다 읊어주까?,614.88195,615.82591,,다 읊어줄까?,다 을퍼줄까,form_rule_prediction,resolved_form,D:\10_LAYERS\05_search_master_pre_mfa_staging\pre_mfa_v1_20260725\2023\SDRW2300001040.csv,D:\00_RAW\dialogue_json\NIKL_DIALOGUE_2023_v1.1\NIKL_DIALOGUE_2023_v1.1\SDRW2300001040.json,다 읊어줄까?,다 읊어주까?,SDRW2300001040.1,SD2301139,614.88195,615.82591,,exact
읊어주겠니,1,SDRW2300001040.1.1.303,2023,SDRW2300001040,SDRW2300001040.1,SD2301140,읊어주겠니?,읊어주겠니?,623.74193,624.99991,,읊어주겠니?,을퍼주겐니,form_rule_prediction,resolved_form,D:\10_LAYERS\05_search_master_pre_mfa_staging\pre_mfa_v1_20260725\2023\SDRW2300001040.csv,D:\00_RAW\dialogue_json\NIKL_DIALOGUE_2023_v1.1\NIKL_DIALOGUE_2023_v1.1\SDRW2300001040.json,읊어주겠니?,읊어주겠니?,SDRW2300001040.1,SD2301140,623.74193,624.99991,,exact
읊어졌다는데,5,SDRW2300001424.1.1.214,2023,SDRW2300001424,SDRW2300001424.1,SD2301593,이런 식으로 편지 내용이 읊어졌다는데,이런 식으로 편지 내용이 읊어졌대는데,714.89239,717.4224,,이런 식으로 편지 내용이 읊어졌다는데,이런 시그로 편지 내용이 을퍼젿따는데,form_rule_prediction,resolved_form,D:\10_LAYERS\05_search_master_pre_mfa_staging\pre_mfa_v1_20260725\2023\SDRW2300001424.csv,D:\00_RAW\dialogue_json\NIKL_DIALOGUE_2023_v1.1\NIKL_DIALOGUE_2023_v1.1\SDRW2300001424.json,이런 식으로 편지 내용이 읊어졌다는데,이런 식으로 편지 내용이 읊어졌대는데,SDRW2300001424.1,SD2301593,714.89239,717.4224,,exact
읊는다고,6,SDRW2400000652.1.1.50,2024,SDRW2400000652,SDRW2400000652.1,SD2400823,이제 서당개도 3년이면 풍월을 읊는다고 이제 엔간한 국악 뭐 무대라든지 곡조라든지 그런 것들은 다 알게 됐고.,이제 서당개도 삼 년이면 풍월을 읊는다고 이제 엔간한 국악 뭐~ 무대라든지 곡조라든지 그런 것들은 다 알게 됐고.,218.15139,229.40675,,이제 서당개도 삼 년이면 풍월을 읊는다고 이제 엔간한 국악 뭐~ 무대라든지 곡조라든지 그런 것들은 다 알게 됐고.,이제 서당개도 삼 녀니면 풍워를 음는다고 이제 엔간한 구각 뭐 무대라든지 곡쪼라든지 그런 걷뜨른 다 알게 됃꼬,original_form_placeholder_resolution,resolved_original_form,D:\10_LAYERS\05_search_master_pre_mfa_staging\pre_mfa_v1_20260725\2024\SDRW2400000652.csv,D:\00_RAW\dialogue_json\NIKL_DIALOGUE_2024_v1.0\NIKL_DIALOGUE_2024_v1.0\SDRW2400000652.json,이제 서당개도 3년이면 풍월을 읊는다고 이제 엔간한 국악 뭐 무대라든지 곡조라든지 그런 것들은 다 알게 됐고.,이제 서당개도 삼 년이면 풍월을 읊는다고 이제 엔간한 국악 뭐~ 무대라든지 곡조라든지 그런 것들은 다 알게 됐고.,SDRW2400000652.1,SD2400823,218.15139,229.40675,,exact
읊어서,5,SDRW2400001199.1.1.58,2024,SDRW2400001199,SDRW2400001199.1,SD2401002,요즘은 사랑을 아주 시로 읊어서,요즘은 사랑을 아주 시로 을버서,238.61737,241.24678,,요즘은 사랑을 아주 시로 읊어서,요즈믄 사랑을 아주 시로 을퍼서,form_rule_prediction,resolved_form,D:\10_LAYERS\05_search_master_pre_mfa_staging\pre_mfa_v1_20260725\2024\SDRW2400001199.csv,D:\00_RAW\dialogue_json\NIKL_DIALOGUE_2024_v1.0\NIKL_DIALOGUE_2024_v1.0\SDRW2400001199.json,요즘은 사랑을 아주 시로 읊어서,요즘은 사랑을 아주 시로 을버서,SDRW2400001199.1,SD2401002,238.61737,241.24678,,exact
읊으는,6,SDRW2400002478.1.1.26,2024,SDRW2400002478,SDRW2400002478.1,SD2401699,어 걔가 이렇게 여렴풋이 나한테 읊으는 거 보니까 어 얼추 내 성격하고 맞는 거 같아. 근데 요즘에는,어~ 걔가 이케 얼풋 나한테 읊으능 거 보니까 어~ 얼추 내 성격하고 맞능 거 같애. 근데 요즘에는,97.23291,104.46114,,어 걔가 이렇게 여렴풋이 나한테 읊으는 거 보니까 어 얼추 내 성격하고 맞는 거 같아. 근데 요즘에는,어 걔가 이러케 여렴푸시 나한테 을프는 거 보니까 어 얼추 내 성겨카고 만는 거 가타 근데 요즈메는,form_rule_prediction,resolved_form,D:\10_LAYERS\05_search_master_pre_mfa_staging\pre_mfa_v1_20260725\2024\SDRW2400002478.csv,D:\00_RAW\dialogue_json\NIKL_DIALOGUE_2024_v1.0\NIKL_DIALOGUE_2024_v1.0\SDRW2400002478.json,어 걔가 이렇게 여렴풋이 나한테 읊으는 거 보니까 어 얼추 내 성격하고 맞는 거 같아. 근데 요즘에는,어~ 걔가 이케 얼풋 나한테 읊으능 거 보니까 어~ 얼추 내 성격하고 맞능 거 같애. 근데 요즘에는,SDRW2400002478.1,SD2401699,97.23291,104.46114,,exact
읊었다는,4,SARW2500000384.1.1.109,2025,SARW2500000384,SARW2500000384.1,SD2502087,그런 여름날을 시인이 읊었다는 평가를 받는 시입니다.,그런 여름날을 시인이 읊었다는 평가를 받는 시입니다.,598.42255,604.309,,그런 여름날을 시인이 읊었다는 평가를 받는 시입니다.,그런 여름나를 시이니 을펃따는 평가를 반는 시임니다,form_rule_prediction,resolved_form,D:\10_LAYERS\05_search_master_pre_mfa_staging\pre_mfa_v1_20260725\2025\SARW2500000384.csv,D:\00_RAW\dialogue_json\NIKL_DIALOGUE_2025_v1.0\SARW2500000384.json,그런 여름날을 시인이 읊었다는 평가를 받는 시입니다.,그런 여름날을 시인이 읊었다는 평가를 받는 시입니다.,SARW2500000384.1,SD2502087,598.42255,604.309,,exact
읊은,5,SARW2500000384.1.1.122,2025,SARW2500000384,SARW2500000384.1,SD2502087,여름 저녁에 고요한 휴식을 읊은 시 고적의 하일산중이라는 시 오늘은 보여 드릴게요.,여름 저녁에 교요한 휴식을 읊은 시 고적에 하일산중이라는 시 오늘은 보여 드릴게요.,670.61,678.59,,여름 저녁에 고요한 휴식을 읊은 시 고적의 하일산중이라는 시 오늘은 보여 드릴게요.,여름 저녀게 고요한 휴시글 을픈 시 고저긔 하일산중이라는 시 오느른 보여 드릴게요,form_rule_prediction,resolved_form,D:\10_LAYERS\05_search_master_pre_mfa_staging\pre_mfa_v1_20260725\2025\SARW2500000384.csv,D:\00_RAW\dialogue_json\NIKL_DIALOGUE_2025_v1.0\SARW2500000384.json,여름 저녁에 고요한 휴식을 읊은 시 고적의 하일산중이라는 시 오늘은 보여 드릴게요.,여름 저녁에 교요한 휴식을 읊은 시 고적에 하일산중이라는 시 오늘은 보여 드릴게요.,SARW2500000384.1,SD2502087,670.61,678.59,,exact
읊었습니다,8,SARW2500000384.1.1.155,2025,SARW2500000384,SARW2500000384.1,SD2502087,나 여름을 만끽하고 있어라고 고적이 하일산중이라는 시에 읊었습니다.,나 여름을 만끽하고 있어라고 고적이 하일산중이라는 시에 읊었습니다.,846.93328,852.94,,나 여름을 만끽하고 있어라고 고적이 하일산중이라는 시에 읊었습니다.,나 여르믈 만끼카고 이써라고 고저기 하일산중이라는 시에 을펃씀니다,form_rule_prediction,resolved_form,D:\10_LAYERS\05_search_master_pre_mfa_staging\pre_mfa_v1_20260725\2025\SARW2500000384.csv,D:\00_RAW\dialogue_json\NIKL_DIALOGUE_2025_v1.0\SARW2500000384.json,나 여름을 만끽하고 있어라고 고적이 하일산중이라는 시에 읊었습니다.,나 여름을 만끽하고 있어라고 고적이 하일산중이라는 시에 읊었습니다.,SARW2500000384.1,SD2502087,846.93328,852.94,,exact
읊은,5,SARW2500000384.1.1.47,2025,SARW2500000384,SARW2500000384.1,SD2502087,이런 정말 여름밤의 서늘함을 읊은 양만리의 시입니다.,이런 정말 여름밤에 서늘함을 읊은 양만리에 시입니다.,258.53871,265.294,,이런 정말 여름밤의 서늘함을 읊은 양만리의 시입니다.,이런 정말 여름바믜 서늘하믈 을픈 양말리의 시임니다,form_rule_prediction,resolved_form,D:\10_LAYERS\05_search_master_pre_mfa_staging\pre_mfa_v1_20260725\2025\SARW2500000384.csv,D:\00_RAW\dialogue_json\NIKL_DIALOGUE_2025_v1.0\SARW2500000384.json,이런 정말 여름밤의 서늘함을 읊은 양만리의 시입니다.,이런 정말 여름밤에 서늘함을 읊은 양만리에 시입니다.,SARW2500000384.1,SD2502087,258.53871,265.294,,exact
읊었는데,6,SDRW2500002085.1.1.100,2025,SDRW2500002085,SDRW2500002085.1,SD2501630,그걸 그냥 그대로 2020년도에 읊었는데,그걸 그냥 그대로 이천이십 년도에 읊었는데,528.42824,531.47113,,그걸 그냥 그대로 이천이십 년도에 읊었는데,그걸 그냥 그대로 이처니십 년도에 을펀는데,original_form_placeholder_resolution,resolved_original_form,D:\10_LAYERS\05_search_master_pre_mfa_staging\pre_mfa_v1_20260725\2025\SDRW2500002085.csv,D:\00_RAW\dialogue_json\NIKL_DIALOGUE_2025_v1.0\SDRW2500002085.json,그걸 그냥 그대로 2020년도에 읊었는데,그걸 그냥 그대로 이천이십 년도에 읊었는데,SDRW2500002085.1,SD2501630,528.42824,531.47113,,exact
읊으라고,5,SDRW2500002345.1.1.153,2025,SDRW2500002345,SDRW2500002345.1,SD2501803,그래서 어 아직까지 스토리를 읊으라고 하면은 읊을 수 있을 정도로 기억이 나는데,그래서 어~ 아직까지 스토리를 읊으라고 하면은 읊을 수 있을 정도로 기억이 나는데,870.4,876.24329,,그래서 어 아직까지 스토리를 읊으라고 하면은 읊을 수 있을 정도로 기억이 나는데,그래서 어 아직까지 스토리를 을프라고 하며는 을플 수 이쓸 정도로 기어기 나는데,form_rule_prediction,resolved_form,D:\10_LAYERS\05_search_master_pre_mfa_staging\pre_mfa_v1_20260725\2025\SDRW2500002345.csv,D:\00_RAW\dialogue_json\NIKL_DIALOGUE_2025_v1.0\SDRW2500002345.json,그래서 어 아직까지 스토리를 읊으라고 하면은 읊을 수 있을 정도로 기억이 나는데,그래서 어~ 아직까지 스토리를 읊으라고 하면은 읊을 수 있을 정도로 기억이 나는데,SDRW2500002345.1,SD2501803,870.4,876.24329,,exact
읊을,7,SDRW2500002345.1.1.153,2025,SDRW2500002345,SDRW2500002345.1,SD2501803,그래서 어 아직까지 스토리를 읊으라고 하면은 읊을 수 있을 정도로 기억이 나는데,그래서 어~ 아직까지 스토리를 읊으라고 하면은 읊을 수 있을 정도로 기억이 나는데,870.4,876.24329,,그래서 어 아직까지 스토리를 읊으라고 하면은 읊을 수 있을 정도로 기억이 나는데,그래서 어 아직까지 스토리를 을프라고 하며는 을플 수 이쓸 정도로 기어기 나는데,form_rule_prediction,resolved_form,D:\10_LAYERS\05_search_master_pre_mfa_staging\pre_mfa_v1_20260725\2025\SDRW2500002345.csv,D:\00_RAW\dialogue_json\NIKL_DIALOGUE_2025_v1.0\SDRW2500002345.json,그래서 어 아직까지 스토리를 읊으라고 하면은 읊을 수 있을 정도로 기억이 나는데,그래서 어~ 아직까지 스토리를 읊으라고 하면은 읊을 수 있을 정도로 기억이 나는데,SDRW2500002345.1,SD2501803,870.4,876.24329,,exact
