year,utt_id,session_id,base_primary_status,base_status_family,base_reason_codes_json,recovery_status,recovery_family,recovery_visibility,recovery_outcome_source,recovery_evidence_path,recovery_evidence_sha256,active_annotation_source,active_annotation_revision,active_textgrid_path,active_textgrid_sha256,active_transcript,active_orth_roman_v2,manual_edit_count,annotation_resolution_status,phone_layer_status,phoneme_layer_status,morph_enrichment_status
2021,SDRW2100000044.1.1.248,SDRW2100000044,post_mfa_technical_exclusion,technical_exclusion,"[""mfa_alignment_missing""]",curated_manual_word_overlay_pending_phone,curated_recovery,curated_annotation_candidate,D9+D10,D:\mfa_eojeol\recovery\common_pron_mfa_r3_20260809\D10_RESEARCHER_RETURN_0001\normalized\07_2021_SDRW2100000044.1.1.248.manual_overlay.TextGrid,2db22c8bdac82bcfa82fb49a761b71c049889293743b7725e9bce37201ee78bb,curated,D10_researcher_return_0001,D:\mfa_eojeol\recovery\common_pron_mfa_r3_20260809\D10_RESEARCHER_RETURN_0001\normalized\07_2021_SDRW2100000044.1.1.248.manual_overlay.TextGrid,2db22c8bdac82bcfa82fb49a761b71c049889293743b7725e9bce37201ee78bb,어 그거 예전에 우리 먹을 때 처음에는,EO | G EU _ G EO | YE _ J EO n _ E | U _ R I | M EO k _ EU l | TT AE | CH EO _ EU m _ E _ N EU n,1,curated_pointer_applied,d9_reference_only_not_adopted,pending_curated_alignment,pending_rebuild_from_curated_transcript
2021,SDRW2100000154.1.1.417,SDRW2100000154,post_mfa_technical_exclusion,technical_exclusion,"[""mfa_feature_generation_failed""]",unresolved_technical_exclusion_source_fragment_too_short,technical_exclusion,ledger_only,D8,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000154\SDRW2100000154.1.1.417.wav,d73d2beb3dab40f7e58938858e9e2554447e2c070401d744b0de418ddfd7065c,base,,,,,,0,base_preserved_no_curated_pointer,not_available,not_applicable_no_curated_pointer,not_applicable_no_curated_pointer
2021,SDRW2100000736.1.1.308,SDRW2100000736,post_mfa_technical_exclusion,technical_exclusion,"[""mfa_feature_generation_failed""]",unresolved_technical_exclusion_source_fragment_too_short,technical_exclusion,ledger_only,D8,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000736\SDRW2100000736.1.1.308.wav,9d2a949ee72feed76c9afc61b288c799c1d885ac746de198d53d564900a76dfa,base,,,,,,0,base_preserved_no_curated_pointer,not_available,not_applicable_no_curated_pointer,not_applicable_no_curated_pointer
2021,SDRW2100000871.1.1.215,SDRW2100000871,post_mfa_technical_exclusion,technical_exclusion,"[""mfa_feature_generation_failed""]",unresolved_technical_exclusion_source_fragment_too_short,technical_exclusion,ledger_only,D8,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000871\SDRW2100000871.1.1.215.wav,9d2a949ee72feed76c9afc61b288c799c1d885ac746de198d53d564900a76dfa,base,,,,,,0,base_preserved_no_curated_pointer,not_available,not_applicable_no_curated_pointer,not_applicable_no_curated_pointer
2021,SDRW2100001504.1.1.447,SDRW2100001504,post_mfa_technical_exclusion,technical_exclusion,"[""mfa_feature_generation_failed""]",unresolved_technical_exclusion_source_fragment_too_short,technical_exclusion,ledger_only,D8,D:\20_AUDIO\03_wav\individual\2021\SDRW2100001504\SDRW2100001504.1.1.447.wav,fffff6386f4d5a9f98b140a029a8aee08143b1974c02919f274bac445a0ee5e0,base,,,,,,0,base_preserved_no_curated_pointer,not_available,not_applicable_no_curated_pointer,not_applicable_no_curated_pointer
2021,SDRW2100001510.1.1.298,SDRW2100001510,post_mfa_technical_exclusion,technical_exclusion,"[""mfa_feature_generation_failed""]",unresolved_technical_exclusion_source_fragment_too_short,technical_exclusion,ledger_only,D8,D:\20_AUDIO\03_wav\individual\2021\SDRW2100001510\SDRW2100001510.1.1.298.wav,bde5e521861078ec16cc6bac0c49ad570617d00cc95932643b349788ad51dbb1,base,,,,,,0,base_preserved_no_curated_pointer,not_available,not_applicable_no_curated_pointer,not_applicable_no_curated_pointer
2021,SDRW2100001512.1.1.33,SDRW2100001512,post_mfa_technical_exclusion,technical_exclusion,"[""mfa_feature_generation_failed""]",unresolved_technical_exclusion_source_fragment_too_short,technical_exclusion,ledger_only,D8,D:\20_AUDIO\03_wav\individual\2021\SDRW2100001512\SDRW2100001512.1.1.33.wav,c193373a4a6b638e84595f1f3c4c1157c713221e5ed7dd789769d8ca6cd3341f,base,,,,,,0,base_preserved_no_curated_pointer,not_available,not_applicable_no_curated_pointer,not_applicable_no_curated_pointer
2021,SDRW2100001591.1.1.229,SDRW2100001591,post_mfa_technical_exclusion,technical_exclusion,"[""mfa_feature_generation_failed""]",unresolved_technical_exclusion_source_fragment_too_short,technical_exclusion,ledger_only,D8,D:\20_AUDIO\03_wav\individual\2021\SDRW2100001591\SDRW2100001591.1.1.229.wav,3667d9c890248f899e17f7bf8601509edabe7d3633510b7da5244951e6e4ebb3,base,,,,,,0,base_preserved_no_curated_pointer,not_available,not_applicable_no_curated_pointer,not_applicable_no_curated_pointer
2021,SDRW2100001615.1.1.496,SDRW2100001615,post_mfa_technical_exclusion,technical_exclusion,"[""mfa_feature_generation_failed""]",unresolved_technical_exclusion_source_fragment_too_short,technical_exclusion,ledger_only,D8,D:\20_AUDIO\03_wav\individual\2021\SDRW2100001615\SDRW2100001615.1.1.496.wav,d313c2fa44e057827a1b35725128d02d11b2561335e9b457e850c6727ea1ad67,base,,,,,,0,base_preserved_no_curated_pointer,not_available,not_applicable_no_curated_pointer,not_applicable_no_curated_pointer
2021,SDRW2100001817.1.1.214,SDRW2100001817,post_mfa_technical_exclusion,technical_exclusion,"[""mfa_feature_generation_failed""]",unresolved_technical_exclusion_source_fragment_too_short,technical_exclusion,ledger_only,D8,D:\20_AUDIO\03_wav\individual\2021\SDRW2100001817\SDRW2100001817.1.1.214.wav,ef940cd318478e49adc2b67827f5562b3d87604f7cf9d78e57b8530545f21c34,base,,,,,,0,base_preserved_no_curated_pointer,not_available,not_applicable_no_curated_pointer,not_applicable_no_curated_pointer
2021,SDRW2100001817.1.1.417,SDRW2100001817,post_mfa_technical_exclusion,technical_exclusion,"[""mfa_feature_generation_failed""]",unresolved_technical_exclusion_source_fragment_too_short,technical_exclusion,ledger_only,D8,D:\20_AUDIO\03_wav\individual\2021\SDRW2100001817\SDRW2100001817.1.1.417.wav,0c37b737cdcc1169dc72d06b34b5fc84c7aba7e97396b8d27c463c3eb89ed870,base,,,,,,0,base_preserved_no_curated_pointer,not_available,not_applicable_no_curated_pointer,not_applicable_no_curated_pointer
2021,SDRW2100001817.1.1.463,SDRW2100001817,post_mfa_technical_exclusion,technical_exclusion,"[""mfa_feature_generation_failed""]",unresolved_technical_exclusion_source_fragment_too_short,technical_exclusion,ledger_only,D8,D:\20_AUDIO\03_wav\individual\2021\SDRW2100001817\SDRW2100001817.1.1.463.wav,288cb6ee2890f4c8d1da9ef6d3e049377c9b869ca2a7f39865e80d1c2f3137cf,base,,,,,,0,base_preserved_no_curated_pointer,not_available,not_applicable_no_curated_pointer,not_applicable_no_curated_pointer
2021,SDRW2100001962.1.1.213,SDRW2100001962,post_mfa_technical_exclusion,technical_exclusion,"[""mfa_feature_generation_failed""]",unresolved_technical_exclusion_source_fragment_too_short,technical_exclusion,ledger_only,D8,D:\20_AUDIO\03_wav\individual\2021\SDRW2100001962\SDRW2100001962.1.1.213.wav,a9cfdeb06cf182b88e811513fc58e73f107a0494a8547c58a195750b910d2376,base,,,,,,0,base_preserved_no_curated_pointer,not_available,not_applicable_no_curated_pointer,not_applicable_no_curated_pointer
2021,SDRW2100001962.1.1.337,SDRW2100001962,post_mfa_technical_exclusion,technical_exclusion,"[""mfa_feature_generation_failed""]",unresolved_technical_exclusion_source_fragment_too_short,technical_exclusion,ledger_only,D8,D:\20_AUDIO\03_wav\individual\2021\SDRW2100001962\SDRW2100001962.1.1.337.wav,554945d98e180bd4055dadbe1b3213acc9624de7b5b9a381bd176ebad19fa22d,base,,,,,,0,base_preserved_no_curated_pointer,not_available,not_applicable_no_curated_pointer,not_applicable_no_curated_pointer
2021,SDRW2100001962.1.1.392,SDRW2100001962,post_mfa_technical_exclusion,technical_exclusion,"[""mfa_feature_generation_failed""]",unresolved_technical_exclusion_source_fragment_too_short,technical_exclusion,ledger_only,D8,D:\20_AUDIO\03_wav\individual\2021\SDRW2100001962\SDRW2100001962.1.1.392.wav,6f58b8d8591c52d507411ab1d14e1be05b647a3e3f368c215576773be7fa64a6,base,,,,,,0,base_preserved_no_curated_pointer,not_available,not_applicable_no_curated_pointer,not_applicable_no_curated_pointer
2021,SDRW2100001970.1.1.376,SDRW2100001970,post_mfa_technical_exclusion,technical_exclusion,"[""mfa_feature_generation_failed""]",unresolved_technical_exclusion_source_fragment_too_short,technical_exclusion,ledger_only,D8,D:\20_AUDIO\03_wav\individual\2021\SDRW2100001970\SDRW2100001970.1.1.376.wav,994c3b1b6711a6d4a30c60d32b27eba916b1d5e8e590f7d272890be84d46f4c7,base,,,,,,0,base_preserved_no_curated_pointer,not_available,not_applicable_no_curated_pointer,not_applicable_no_curated_pointer
2021,SDRW2100002231.1.1.227,SDRW2100002231,post_mfa_technical_exclusion,technical_exclusion,"[""mfa_feature_generation_failed""]",unresolved_technical_exclusion_source_fragment_too_short,technical_exclusion,ledger_only,D8,D:\20_AUDIO\03_wav\individual\2021\SDRW2100002231\SDRW2100002231.1.1.227.wav,9ca2f8376b1bbaeca718f95301cbed3d02fed66aa78cf9d67cbabd0fc4b45aae,base,,,,,,0,base_preserved_no_curated_pointer,not_available,not_applicable_no_curated_pointer,not_applicable_no_curated_pointer
2021,SDRW2100002231.1.1.321,SDRW2100002231,post_mfa_technical_exclusion,technical_exclusion,"[""mfa_feature_generation_failed""]",unresolved_technical_exclusion_source_fragment_too_short,technical_exclusion,ledger_only,D8,D:\20_AUDIO\03_wav\individual\2021\SDRW2100002231\SDRW2100002231.1.1.321.wav,d9683c916ba7873765759770abf3acdbdbb871ce6cc0fceeaa038e338c9bee91,base,,,,,,0,base_preserved_no_curated_pointer,not_available,not_applicable_no_curated_pointer,not_applicable_no_curated_pointer
2021,SDRW2100002234.1.1.173,SDRW2100002234,post_mfa_technical_exclusion,technical_exclusion,"[""mfa_feature_generation_failed""]",unresolved_technical_exclusion_source_fragment_too_short,technical_exclusion,ledger_only,D8,D:\20_AUDIO\03_wav\individual\2021\SDRW2100002234\SDRW2100002234.1.1.173.wav,e42977c31251953e14d1f5f05bfb9895fb9f37d579e4660562e1e76c82ad1a18,base,,,,,,0,base_preserved_no_curated_pointer,not_available,not_applicable_no_curated_pointer,not_applicable_no_curated_pointer
2021,SDRW2100002352.1.1.172,SDRW2100002352,post_mfa_technical_exclusion,technical_exclusion,"[""mfa_feature_generation_failed""]",unresolved_technical_exclusion_source_fragment_too_short,technical_exclusion,ledger_only,D8,D:\20_AUDIO\03_wav\individual\2021\SDRW2100002352\SDRW2100002352.1.1.172.wav,9d2a949ee72feed76c9afc61b288c799c1d885ac746de198d53d564900a76dfa,base,,,,,,0,base_preserved_no_curated_pointer,not_available,not_applicable_no_curated_pointer,not_applicable_no_curated_pointer
2021,SDRW2100002889.1.1.127,SDRW2100002889,post_mfa_technical_exclusion,technical_exclusion,"[""mfa_feature_generation_failed""]",unresolved_technical_exclusion_source_fragment_too_short,technical_exclusion,ledger_only,D8,D:\20_AUDIO\03_wav\individual\2021\SDRW2100002889\SDRW2100002889.1.1.127.wav,a915e57b834d034e55d74af2a7d685db35d7f6c1f52accc1ffc5199f0c1ac795,base,,,,,,0,base_preserved_no_curated_pointer,not_available,not_applicable_no_curated_pointer,not_applicable_no_curated_pointer
2021,SDRW2100003710.1.1.276,SDRW2100003710,post_mfa_technical_exclusion,technical_exclusion,"[""mfa_feature_generation_failed""]",unresolved_technical_exclusion_source_fragment_too_short,technical_exclusion,ledger_only,D8,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003710\SDRW2100003710.1.1.276.wav,bbcd3ea7eaaa6ece322853bbcf5ceb929500d31ed8997b0a10d8e6a2950fbbb8,base,,,,,,0,base_preserved_no_curated_pointer,not_available,not_applicable_no_curated_pointer,not_applicable_no_curated_pointer
2021,SDRW2100004264.1.1.286,SDRW2100004264,post_mfa_technical_exclusion,technical_exclusion,"[""mfa_feature_generation_failed""]",unresolved_technical_exclusion_source_fragment_too_short,technical_exclusion,ledger_only,D8,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004264\SDRW2100004264.1.1.286.wav,ce4e5f411e7f5499b3e9bdd740939a0fcfe183fe755732f18e716c5f24574ea8,base,,,,,,0,base_preserved_no_curated_pointer,not_available,not_applicable_no_curated_pointer,not_applicable_no_curated_pointer
2021,SDRW2100004264.1.1.371,SDRW2100004264,post_mfa_technical_exclusion,technical_exclusion,"[""mfa_feature_generation_failed""]",unresolved_technical_exclusion_source_fragment_too_short,technical_exclusion,ledger_only,D8,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004264\SDRW2100004264.1.1.371.wav,27965653926f88ab243cd090a5a6c56e7b1f1883aaf877bb2df71dee1e299377,base,,,,,,0,base_preserved_no_curated_pointer,not_available,not_applicable_no_curated_pointer,not_applicable_no_curated_pointer
2022,SDRW2200000009.1.1.329,SDRW2200000009,post_mfa_technical_exclusion,technical_exclusion,"[""mfa_alignment_missing""]",excluded_transcript_recovery_candidate,transcript_recovery,recovery_candidate,D7,C:\Users\ari30\research\2026_summer_research\outputs\reviews\db_v1_recovery_d6_20260815\04_2022_SDRW2200000009.1.1.329.TextGrid,59474fec052db5fd5cca23720aff197fc14479a988afc71881dd52764b3fdf89,base,,,,,,0,base_preserved_no_curated_pointer,diagnostic_reference_only,not_applicable_no_curated_pointer,not_applicable_no_curated_pointer
2022,SDRW2200000019.1.1.279,SDRW2200000019,post_mfa_technical_exclusion,technical_exclusion,"[""mfa_alignment_missing""]",curated_manual_word_overlay_pending_phone,curated_recovery,curated_annotation_candidate,D9+D10,D:\mfa_eojeol\recovery\common_pron_mfa_r3_20260809\D10_RESEARCHER_RETURN_0001\normalized\08_2022_SDRW2200000019.1.1.279.manual_overlay.TextGrid,109f962def7da85d222ab58d1072dc36ecb538abadc57b8d653acf9676e6b55a,curated,D10_researcher_return_0001,D:\mfa_eojeol\recovery\common_pron_mfa_r3_20260809\D10_RESEARCHER_RETURN_0001\normalized\08_2022_SDRW2200000019.1.1.279.manual_overlay.TextGrid,109f962def7da85d222ab58d1072dc36ecb538abadc57b8d653acf9676e6b55a,근데 잠은 쪼끔 재워 줬으면,G EU n _ D E | J A m _ EU n | JJ O _ KK EU m | J AE _ WO | J WO ss _ EU _ M YEO n,1,curated_pointer_applied,d9_reference_only_not_adopted,pending_curated_alignment,pending_rebuild_from_curated_transcript
2022,SDRW2200000029.1.1.234,SDRW2200000029,post_mfa_technical_exclusion,technical_exclusion,"[""mfa_alignment_missing""]",excluded_transcript_recovery_candidate,transcript_recovery,recovery_candidate,D7,C:\Users\ari30\research\2026_summer_research\outputs\reviews\db_v1_recovery_d6_20260815\05_2022_SDRW2200000029.1.1.234.TextGrid,4169e354d100656c1ed24abdd00be3599f1cc00707d8c825a0cf69ee2bc0bf45,base,,,,,,0,base_preserved_no_curated_pointer,diagnostic_reference_only,not_applicable_no_curated_pointer,not_applicable_no_curated_pointer
2022,SDRW2200000033.1.1.137,SDRW2200000033,post_mfa_technical_exclusion,technical_exclusion,"[""mfa_alignment_missing""]",curated_manual_word_overlay_pending_phone,curated_recovery,curated_annotation_candidate,D9+D10,D:\mfa_eojeol\recovery\common_pron_mfa_r3_20260809\D10_RESEARCHER_RETURN_0001\normalized\09_2022_SDRW2200000033.1.1.137.manual_overlay.TextGrid,f1baa0d3373256d5c9e0a7c819ba76ad8452b39d3d717146b1d33bb82a41e3b4,curated,D10_researcher_return_0001,D:\mfa_eojeol\recovery\common_pron_mfa_r3_20260809\D10_RESEARCHER_RETURN_0001\normalized\09_2022_SDRW2200000033.1.1.137.manual_overlay.TextGrid,f1baa0d3373256d5c9e0a7c819ba76ad8452b39d3d717146b1d33bb82a41e3b4,나는 지리산에 한번 간 적 있어,N A _ N EU n | J I _ R I _ S A n _ E | H A n _ B EO n | G A n | J EO k | I ss _ EO,1,curated_pointer_applied,d9_reference_only_not_adopted,pending_curated_alignment,pending_rebuild_from_curated_transcript
2022,SDRW2200000051.1.1.61,SDRW2200000051,post_mfa_technical_exclusion,technical_exclusion,"[""mfa_alignment_missing""]",curated_manual_word_overlay_pending_phone,curated_recovery,curated_annotation_candidate,D9+D10,D:\mfa_eojeol\recovery\common_pron_mfa_r3_20260809\D10_RESEARCHER_RETURN_0001\normalized\10_2022_SDRW2200000051.1.1.61.manual_overlay.TextGrid,03fc323fbe061969f18a773c9c0d289a632e8bc378eaa07c48e0f2130323f4d4,curated,D10_researcher_return_0001,D:\mfa_eojeol\recovery\common_pron_mfa_r3_20260809\D10_RESEARCHER_RETURN_0001\normalized\10_2022_SDRW2200000051.1.1.61.manual_overlay.TextGrid,03fc323fbe061969f18a773c9c0d289a632e8bc378eaa07c48e0f2130323f4d4,나는 함덕,N A _ N EU n | H A m _ D EO k,1,curated_pointer_applied,d9_reference_only_not_adopted,pending_curated_alignment,pending_rebuild_from_curated_transcript
2023,SDRW2300000013.1.1.213,SDRW2300000013,post_mfa_technical_exclusion,technical_exclusion,"[""mfa_alignment_missing""]",curated_manual_word_overlay_pending_phone,curated_recovery,curated_annotation_candidate,D9+D10,D:\mfa_eojeol\recovery\common_pron_mfa_r3_20260809\D10_RESEARCHER_RETURN_0001\normalized\11_2023_SDRW2300000013.1.1.213.manual_overlay.TextGrid,7a457e50a716a48b30dc63a8b082b197956eb1306175b608b16b2f7a1e181074,curated,D10_researcher_return_0001,D:\mfa_eojeol\recovery\common_pron_mfa_r3_20260809\D10_RESEARCHER_RETURN_0001\normalized\11_2023_SDRW2300000013.1.1.213.manual_overlay.TextGrid,7a457e50a716a48b30dc63a8b082b197956eb1306175b608b16b2f7a1e181074,노래방에서 부를 때 아 이런 노래였구나 를 나중에 알게 되는,N O _ R AE _ B A ng _ E _ S EO | B U _ R EU l | TT AE | A | I _ R EO n | N O _ R AE _ YEO ss _ G U _ N A | R EU l | N A _ J U ng _ E | A l _ G E | D OE _ N EU n,1,curated_pointer_applied,d9_reference_only_not_adopted,pending_curated_alignment,pending_rebuild_from_curated_transcript
2023,SDRW2300000085.1.1.299,SDRW2300000085,post_mfa_technical_exclusion,technical_exclusion,"[""mfa_alignment_missing""]",curated_manual_word_overlay_pending_phone,curated_recovery,curated_annotation_candidate,D9+D10,D:\mfa_eojeol\recovery\common_pron_mfa_r3_20260809\D10_RESEARCHER_RETURN_0001\normalized\12_2023_SDRW2300000085.1.1.299.manual_overlay.TextGrid,2c603a396de6cc98a9032e1bb016b6bff85b7dc9dd5a552fcb5060d255b4b87e,curated,D10_researcher_return_0001,D:\mfa_eojeol\recovery\common_pron_mfa_r3_20260809\D10_RESEARCHER_RETURN_0001\normalized\12_2023_SDRW2300000085.1.1.299.manual_overlay.TextGrid,2c603a396de6cc98a9032e1bb016b6bff85b7dc9dd5a552fcb5060d255b4b87e,이렇게 돈을 딱 주시더,I _ R EO h _ G E | D O n _ EU l | TT A k | J U _ S I _ D EO,1,curated_pointer_applied,d9_reference_only_not_adopted,pending_curated_alignment,pending_rebuild_from_curated_transcript
