sample_reason,token,target_hangul,total_occurrences,count_2020,count_2021,count_2022,count_2023,count_2024,count_2025,rule_pron_hangul,rule_pron_roman,g2p_candidate_phones,g2p_candidate_roman,comparison_status,comparison_edit_distance,target_gate_class,source_gate_class,surface_rule_names,dictionary_pron_hangul_json,dictionary_pron_roman_json,dictionary_source_refs_json,original_selection_status,original_selection_reason,morph_context_required,candidate_is_final_selection
high_frequency:exact_candidate_dictionary_agree,적도,적또,2791,398,514,333,386,583,577,적또,J EO k _ TT O,tɕ ʌ k̚ t͈ o,J EO k TT O,exact_rule_roman,0,exact_candidate_dictionary_agree_all_sources,exact_candidate_dictionary_agree,fortis,"[""적또""]","[""J EO k _ TT O""]","[""NIKL_lexicon_full_v2:pron_1""]",candidate_replace_rule_dictionary_agree,"surface rule and dictionary evidence agree, but r2 phones differ",true,false
high_frequency:exact_candidate_dictionary_agree,먹지,먹찌,2305,209,495,419,274,372,536,먹찌,M EO k _ JJ I,m ʌ k̚ tɕ͈ i,M EO k JJ I,exact_rule_roman,0,exact_candidate_dictionary_agree_all_sources,exact_candidate_dictionary_agree,fortis,"[""먹찌""]","[""M EO k _ JJ I""]","[""NIKL_lexicon_full_v2:pron_1""]",candidate_replace_rule_dictionary_agree,"surface rule and dictionary evidence agree, but r2 phones differ",true,false
high_frequency:hold_exact_dictionary_conflict,값어치,갑써치,12,2,4,0,3,0,3,갑써치,G A p _ SS EO _ CH I,k ɐ p̚ s͈ ʌ tɕʰ i,G A p SS EO CH I,exact_rule_roman,0,hold_exact_source_evidence_review,hold_exact_dictionary_conflict,liaison|fortis,"[""가버치""]","[""G A _ B EO _ CH I""]","[""NIKL_lexicon_full_v2:pron_1""]",review_rule_dictionary_conflict,r2 agrees with a dictionary candidate while the surface-rule target differs,true,false
high_frequency:hold_exact_dictionary_conflict,밤낮없이,밤나접씨,12,1,2,3,2,3,1,밤나접씨,B A m _ N A _ J EO p _ SS I,p ɐ m n ɐ dʑ ʌ p ɕ͈ i,B A M N A J EO B SS I,exact_rule_roman,0,hold_exact_source_evidence_review,hold_exact_dictionary_conflict,liaison|fortis,"[""밤나덥씨""]","[""B A m _ N A _ D EO p _ SS I""]","[""NIKL_lexicon_full_v2:pron_1""]",review_rule_dictionary_conflict,r2 agrees with a dictionary candidate while the surface-rule target differs,true,false
high_frequency:hold_exact_dictionary_conflict,여덟아홉,여덜바홉,8,1,0,2,1,1,3,여덜바홉,YEO _ D EO l _ B A _ H O p,j ʌ d ʌ ɭ b ɐ β o p̚,Y EO D EO l B A H O p,exact_rule_roman,0,hold_exact_source_evidence_review,hold_exact_dictionary_conflict,liaison,"[""여더라홉""]","[""YEO _ D EO _ R A _ H O p""]","[""NIKL_lexicon_full_v2:pron_1""]",review_rule_dictionary_conflict,r2 agrees with a dictionary candidate while the surface-rule target differs,true,false
high_frequency:hold_exact_dictionary_conflict,곧이어,고지어,4,0,0,0,1,0,3,고지어,G O _ J I _ EO,k o dʑ i ʌ,G O J I EO,exact_rule_roman,0,hold_exact_source_evidence_review,hold_exact_dictionary_conflict,palatalization,"[""고디어""]","[""G O _ D I _ EO""]","[""NIKL_lexicon_full_v2:pron_1""]",review_rule_dictionary_conflict,r2 agrees with a dictionary candidate while the surface-rule target differs,true,false
high_frequency:hold_exact_dictionary_conflict,팥앙금,파탕금,4,0,0,0,0,0,4,파탕금,P A _ T A ng _ G EU m,pʰ ɐ tʰ ɐ ŋ ɡ ɨ m,P A T A NG G EU M,exact_rule_roman,0,hold_exact_source_evidence_review,hold_exact_dictionary_conflict,liaison,"[""파당금""]","[""P A _ D A ng _ G EU m""]","[""NIKL_lexicon_full_v2:pron_1""]",review_rule_dictionary_conflict,r2 agrees with a dictionary candidate while the surface-rule target differs,true,false
high_frequency:hold_exact_dictionary_conflict,윗옷,위솓,3,0,0,1,0,0,2,위솓,WI _ S O t,ɥ iː sʰ o t̚,W I S O t,exact_rule_roman,0,hold_exact_source_evidence_review,hold_exact_dictionary_conflict,liaison|neutralize,"[""위돋""]","[""WI _ D O t""]","[""NIKL_lexicon_full_v2:pron_1""]",review_rule_dictionary_conflict,r2 agrees with a dictionary candidate while the surface-rule target differs,true,false
high_frequency:hold_exact_dictionary_conflict,첫아이,처사이,3,1,0,0,0,0,2,처사이,CH EO _ S A _ I,tɕʰ ʌː sʰ ɐ i,CH EO S A I,exact_rule_roman,0,hold_exact_source_evidence_review,hold_exact_dictionary_conflict,liaison,"[""처다이""]","[""CH EO _ D A _ I""]","[""NIKL_lexicon_full_v2:pron_1""]",review_rule_dictionary_conflict,r2 agrees with a dictionary candidate while the surface-rule target differs,true,false
high_frequency:hold_exact_dictionary_conflict,버릇없이,버르섭씨,2,2,0,0,0,0,0,버르섭씨,B EO _ R EU _ S EO p _ SS I,p ʌ ɾ ɨ sʰ ʌ p ɕ͈ i,B EO R EU S EO B SS I,exact_rule_roman,0,hold_exact_source_evidence_review,hold_exact_dictionary_conflict,liaison|fortis,"[""버르덥씨""]","[""B EO _ R EU _ D EO p _ SS I""]","[""NIKL_lexicon_full_v2:pron_1""]",review_rule_dictionary_conflict,r2 agrees with a dictionary candidate while the surface-rule target differs,true,false
high_frequency:hold_exact_dictionary_conflict,어슷어슷,어스서슫,2,0,0,0,0,0,2,어스서슫,EO _ S EU _ S EO _ S EU t,ʌ sʰ ɨ sʰ ʌ sʰ ɨ t̚,EO S EU S EO S EU t,exact_rule_roman,0,hold_exact_source_evidence_review,hold_exact_dictionary_conflict,liaison|neutralize,"[""어스더슫""]","[""EO _ S EU _ D EO _ S EU t""]","[""NIKL_lexicon_full_v2:pron_1""]",review_rule_dictionary_conflict,r2 agrees with a dictionary candidate while the surface-rule target differs,true,false
high_frequency:hold_exact_dictionary_conflict,언뜻언뜻,언뜨선뜯,2,0,0,1,0,0,1,언뜨선뜯,EO n _ TT EU _ S EO n _ TT EU t,ʌ n t͈ ɨ sʰ ʌ n t͈ ɨ t̚,EO N TT EU S EO N TT EU t,exact_rule_roman,0,hold_exact_source_evidence_review,hold_exact_dictionary_conflict,liaison|neutralize,"[""언뜨던뜯""]","[""EO n _ TT EU _ D EO n _ TT EU t""]","[""NIKL_lexicon_full_v2:pron_1""]",review_rule_dictionary_conflict,r2 agrees with a dictionary candidate while the surface-rule target differs,true,false
high_frequency:hold_exact_dictionary_conflict,헛웃음,허수슴,2,0,1,0,0,0,1,허수슴,H EO _ S U _ S EU m,h ʌ sʰ u sʰ ɨ m,H EO S U S EU M,exact_rule_roman,0,hold_exact_source_evidence_review,hold_exact_dictionary_conflict,liaison,"[""허두슴""]","[""H EO _ D U _ S EU m""]","[""NIKL_lexicon_full_v2:pron_1""]",review_rule_dictionary_conflict,r2 agrees with a dictionary candidate while the surface-rule target differs,true,false
high_frequency:hold_exact_dictionary_conflict,값없이,갑썹씨,1,0,0,0,0,0,1,갑썹씨,G A p _ SS EO p _ SS I,k ɐ p̚ s͈ ʌ p ɕ͈ i,G A p SS EO B SS I,exact_rule_roman,0,hold_exact_source_evidence_review,hold_exact_dictionary_conflict,liaison|fortis,"[""가법씨""]","[""G A _ B EO p _ SS I""]","[""NIKL_lexicon_full_v2:pron_1""]",review_rule_dictionary_conflict,r2 agrees with a dictionary candidate while the surface-rule target differs,true,false
high_frequency:hold_exact_dictionary_conflict,밑음,미틈,1,0,0,0,1,0,0,미틈,M I _ T EU m,mʲ i tʰ ɨ m,M I T EU M,exact_rule_roman,0,hold_exact_source_evidence_review,hold_exact_dictionary_conflict,liaison,"[""미듬""]","[""M I _ D EU m""]","[""NIKL_lexicon_full_v2:pron_1""]",review_rule_dictionary_conflict,r2 agrees with a dictionary candidate while the surface-rule target differs,true,false
high_frequency:hold_exact_dictionary_conflict,움칫움칫,움치숨칟,1,0,0,1,0,0,0,움치숨칟,U m _ CH I _ S U m _ CH I t,u m tɕʰ i sʰ u m tɕʰ i t̚,U M CH I S U M CH I t,exact_rule_roman,0,hold_exact_source_evidence_review,hold_exact_dictionary_conflict,liaison|neutralize,"[""움치둠칟""]","[""U m _ CH I _ D U m _ CH I t""]","[""NIKL_lexicon_full_v2:pron_1""]",review_rule_dictionary_conflict,r2 agrees with a dictionary candidate while the surface-rule target differs,true,false
high_frequency:hold_exact_no_attested_agreement,것도,걷또,59615,6150,15404,10654,7848,10700,8859,걷또,G EO t _ TT O,k ʌː t̚ t͈ o,G EO t TT O,exact_rule_roman,0,hold_exact_source_evidence_review,hold_exact_no_attested_agreement,neutralize|fortis,[],[],[],review_rule_sensitive_no_attested_agreement,surface-rule target differs from r2 without independent dictionary agreement,true,false
high_frequency:hold_exact_no_attested_agreement,생각을,생가글,57890,7792,14971,7368,7941,11321,8497,생가글,S AE ng _ G A _ G EU l,sʰ ɛː ŋ ɡ ɐ ɡ ɨ ɭ,S AE NG G A G EU l,exact_rule_roman,0,hold_exact_source_evidence_review,hold_exact_no_attested_agreement,liaison,[],[],[],review_rule_sensitive_no_attested_agreement,surface-rule target differs from r2 without independent dictionary agreement,true,false
high_frequency:hold_exact_no_attested_agreement,없는,엄는,25253,2849,6862,4010,3009,4584,3939,엄는,EO m _ N EU n,ʌː m n ɨ n,EO M N EU N,exact_rule_roman,0,hold_exact_source_evidence_review,hold_exact_no_attested_agreement,cluster|nasal_assim,[],[],[],review_rule_sensitive_no_attested_agreement,surface-rule target differs from r2 without independent dictionary agreement,true,false
high_frequency:hold_exact_no_attested_agreement,있어서,이써서,23979,2973,4554,3361,3358,5110,4623,이써서,I _ SS EO _ S EO,iː s͈ ʌ sʰ ʌ,I SS EO S EO,exact_rule_roman,0,hold_exact_source_evidence_review,hold_exact_no_attested_agreement,liaison,[],[],[],review_rule_sensitive_no_attested_agreement,surface-rule target differs from r2 without independent dictionary agreement,true,false
high_frequency:hold_exact_no_attested_agreement,있을,이쓸,23007,2299,6688,3962,2790,3967,3301,이쓸,I _ SS EU l,iː s͈ ɨ ɭ,I SS EU l,exact_rule_roman,0,hold_exact_source_evidence_review,hold_exact_no_attested_agreement,liaison,[],[],[],review_rule_sensitive_no_attested_agreement,surface-rule target differs from r2 without independent dictionary agreement,true,false
high_frequency:hold_exact_no_attested_agreement,있어요,이써요,20898,3608,1643,2114,3374,3518,6641,이써요,I _ SS EO _ YO,iː s͈ ʌ j o,I SS EO Y O,exact_rule_roman,0,hold_exact_source_evidence_review,hold_exact_no_attested_agreement,liaison,[],[],[],review_rule_sensitive_no_attested_agreement,surface-rule target differs from r2 without independent dictionary agreement,true,false
high_frequency:hold_exact_no_attested_agreement,그것도,그걷또,17608,1458,5374,3568,2083,2933,2192,그걷또,G EU _ G EO t _ TT O,k ɨ ɡ ʌ t̚ t͈ o,G EU G EO t TT O,exact_rule_roman,0,hold_exact_source_evidence_review,hold_exact_no_attested_agreement,neutralize|fortis,[],[],[],review_rule_sensitive_no_attested_agreement,surface-rule target differs from r2 without independent dictionary agreement,true,false
high_frequency:hold_exact_no_attested_agreement,없어,업써,16207,715,5379,3615,1752,2951,1795,업써,EO p _ SS EO,ʌ p̚ s͈ ʌ,EO p SS EO,exact_rule_roman,0,hold_exact_source_evidence_review,hold_exact_no_attested_agreement,liaison|fortis,[],[],[],review_rule_sensitive_no_attested_agreement,surface-rule target differs from r2 without independent dictionary agreement,true,false
high_frequency:hold_exact_no_attested_agreement,있으니까,이쓰니까,14483,1177,4283,3016,1716,2483,1808,이쓰니까,I _ SS EU _ N I _ KK A,iː s͈ ɨ ɲ i k͈ ɐ,I SS EU N I KK A,exact_rule_roman,0,hold_exact_source_evidence_review,hold_exact_no_attested_agreement,liaison,[],[],[],review_rule_sensitive_no_attested_agreement,surface-rule target differs from r2 without independent dictionary agreement,true,false
high_frequency:hold_exact_no_attested_agreement,했던,핻떤,12603,1868,2294,1622,1743,2942,2134,핻떤,H AE t _ TT EO n,h ɛː d t͈ ʌ n,H AE D TT EO N,exact_rule_roman,0,hold_exact_source_evidence_review,hold_exact_no_attested_agreement,neutralize|fortis,[],[],[],review_rule_sensitive_no_attested_agreement,surface-rule target differs from r2 without independent dictionary agreement,true,false
high_frequency:hold_exact_no_attested_agreement,같습니다,갇씀니다,12264,1986,252,718,2583,1446,5279,갇씀니다,G A t _ SS EU m _ N I _ D A,k ɐ t̚ s͈ ɨ m ɲ i d ɐ,G A t SS EU M N I D A,exact_rule_roman,0,hold_exact_source_evidence_review,hold_exact_no_attested_agreement,neutralize|nasal_assim|fortis,[],[],[],review_rule_sensitive_no_attested_agreement,surface-rule target differs from r2 without independent dictionary agreement,true,false
high_frequency:hold_exact_no_attested_agreement,기억에,기어게,9760,2417,561,717,937,2617,2511,기어게,G I _ EO _ G E,c i ʌ ɡ e,G I EO G E,exact_rule_roman,0,hold_exact_source_evidence_review,hold_exact_no_attested_agreement,liaison,[],[],[],review_rule_sensitive_no_attested_agreement,surface-rule target differs from r2 without independent dictionary agreement,true,false
high_frequency:hold_exact_no_attested_agreement,것들이,걷뜨리,9253,1008,1972,1281,1138,2013,1841,걷뜨리,G EO t _ TT EU _ R I,k ʌː t̚ t͈ ɨ ɾʲ i,G EO t TT EU R I,exact_rule_roman,0,hold_exact_source_evidence_review,hold_exact_no_attested_agreement,liaison|neutralize|fortis,[],[],[],review_rule_sensitive_no_attested_agreement,surface-rule target differs from r2 without independent dictionary agreement,true,false
high_frequency:hold_exact_no_attested_agreement,것처럼,걷처럼,9031,748,2294,1297,1358,1676,1658,걷처럼,G EO t _ CH EO _ R EO m,k ʌː t̚ tɕʰ ʌ ɾ ʌ m,G EO t CH EO R EO M,exact_rule_roman,0,hold_exact_source_evidence_review,hold_exact_no_attested_agreement,neutralize,[],[],[],review_rule_sensitive_no_attested_agreement,surface-rule target differs from r2 without independent dictionary agreement,true,false
high_frequency:hold_exact_no_attested_agreement,없는데,엄는데,7309,818,1729,1091,1000,1444,1227,엄는데,EO m _ N EU n _ D E,ʌː m n ɨ n d e,EO M N EU N D E,exact_rule_roman,0,hold_exact_source_evidence_review,hold_exact_no_attested_agreement,cluster|nasal_assim,[],[],[],review_rule_sensitive_no_attested_agreement,surface-rule target differs from r2 without independent dictionary agreement,true,false
high_frequency:hold_exact_no_attested_agreement,재밌게,재믿께,7210,926,950,1126,995,2064,1149,재믿께,J AE _ M I t _ KK E,tɕ ɛː mʲ i d k͈ e,J AE M I D KK E,exact_rule_roman,0,hold_exact_source_evidence_review,hold_exact_no_attested_agreement,neutralize|fortis,[],[],[],review_rule_sensitive_no_attested_agreement,surface-rule target differs from r2 without independent dictionary agreement,true,false
high_frequency:hold_exact_no_attested_agreement,없어서,업써서,7104,808,1626,1168,958,1395,1149,업써서,EO p _ SS EO _ S EO,ʌ p̚ s͈ ʌ sʰ ʌ,EO p SS EO S EO,exact_rule_roman,0,hold_exact_source_evidence_review,hold_exact_no_attested_agreement,liaison|fortis,[],[],[],review_rule_sensitive_no_attested_agreement,surface-rule target differs from r2 without independent dictionary agreement,true,false
high_frequency:hold_exact_no_attested_agreement,것들을,걷뜨를,7089,799,1395,829,945,1638,1483,걷뜨를,G EO t _ TT EU _ R EU l,k ʌː t̚ t͈ ɨ ɾ ɨ ɭ,G EO t TT EU R EU l,exact_rule_roman,0,hold_exact_source_evidence_review,hold_exact_no_attested_agreement,liaison|neutralize|fortis,[],[],[],review_rule_sensitive_no_attested_agreement,surface-rule target differs from r2 without independent dictionary agreement,true,false
high_frequency:hold_exact_no_attested_agreement,갔을,가쓸,7078,748,1634,1441,855,1357,1043,가쓸,G A _ SS EU l,k ɐ s͈ ɨ ɭ,G A SS EU l,exact_rule_roman,0,hold_exact_source_evidence_review,hold_exact_no_attested_agreement,liaison,[],[],[],review_rule_sensitive_no_attested_agreement,surface-rule target differs from r2 without independent dictionary agreement,true,false
high_frequency:hold_exact_no_attested_agreement,듣고,듣꼬,6969,666,2220,1296,916,985,886,듣꼬,D EU t _ KK O,t ɨ t̚ k͈ o,D EU t KK O,exact_rule_roman,0,hold_exact_source_evidence_review,hold_exact_no_attested_agreement,fortis,[],[],[],review_rule_sensitive_no_attested_agreement,surface-rule target differs from r2 without independent dictionary agreement,true,false
high_frequency:hold_exact_no_attested_agreement,같긴,갇낀,6807,389,2061,1364,829,1328,836,갇낀,G A t _ KK I n,k ɐ t̚ c͈ i n,G A t KK I N,exact_rule_roman,0,hold_exact_source_evidence_review,hold_exact_no_attested_agreement,neutralize|fortis,[],[],[],review_rule_sensitive_no_attested_agreement,surface-rule target differs from r2 without independent dictionary agreement,true,false
high_frequency:hold_exact_no_attested_agreement,했을,해쓸,6484,739,1826,920,817,1277,905,해쓸,H AE _ SS EU l,h ɛː s͈ ɨ ɭ,H AE SS EU l,exact_rule_roman,0,hold_exact_source_evidence_review,hold_exact_no_attested_agreement,liaison,[],[],[],review_rule_sensitive_no_attested_agreement,surface-rule target differs from r2 without independent dictionary agreement,true,false
high_frequency:hold_exact_no_attested_agreement,있었던,이썯떤,6370,879,1168,882,863,1475,1103,이썯떤,I _ SS EO t _ TT EO n,iː s͈ ʌ d t͈ ʌ n,I SS EO D TT EO N,exact_rule_roman,0,hold_exact_source_evidence_review,hold_exact_no_attested_agreement,liaison|neutralize|fortis,[],[],[],review_rule_sensitive_no_attested_agreement,surface-rule target differs from r2 without independent dictionary agreement,true,false
high_frequency:hold_exact_no_attested_agreement,있을까,이쓸까,6223,416,1586,1104,772,1742,603,이쓸까,I _ SS EU l _ KK A,iː s͈ ɨ ɭ k͈ ɐ,I SS EU l KK A,exact_rule_roman,0,hold_exact_source_evidence_review,hold_exact_no_attested_agreement,liaison,[],[],[],review_rule_sensitive_no_attested_agreement,surface-rule target differs from r2 without independent dictionary agreement,true,false
high_frequency:mismatch_not_eligible,있는,인는,124889,12947,30582,19678,15828,24628,21226,인는,I n _ N EU n,i nː ɨ n,I N EU N,different_rule_roman,1,mismatch_not_eligible,mismatch_not_eligible,neutralize|nasal_assim,[],[],[],review_rule_sensitive_no_attested_agreement,surface-rule target differs from r2 without independent dictionary agreement,true,false
high_frequency:mismatch_not_eligible,있고,읻꼬,59451,6622,14138,9919,7543,11506,9723,읻꼬,I t _ KK O,iː tɕ͈ː k͈ o,I JJ KK O,different_rule_roman,1,mismatch_not_eligible,mismatch_not_eligible,neutralize|fortis,[],[],[],review_rule_sensitive_no_attested_agreement,surface-rule target differs from r2 without independent dictionary agreement,true,false
high_frequency:mismatch_not_eligible,있는데,인는데,47061,5647,9574,6753,6773,9785,8529,인는데,I n _ N EU n _ D E,i nː ɨ n d e,I N EU N D E,different_rule_roman,1,mismatch_not_eligible,mismatch_not_eligible,neutralize|nasal_assim,[],[],[],review_rule_sensitive_no_attested_agreement,surface-rule target differs from r2 without independent dictionary agreement,true,false
high_frequency:mismatch_not_eligible,먹고,먹꼬,31519,3667,6432,5080,4296,5276,6768,먹꼬,M EO k _ KK O,m ʌ k͈ː o,M EO KK O,different_rule_roman,1,mismatch_not_eligible,mismatch_not_eligible,fortis,[],[],[],review_rule_sensitive_no_attested_agreement,surface-rule target differs from r2 without independent dictionary agreement,true,false
high_frequency:mismatch_not_eligible,했는데,핸는데,25902,3268,5632,3759,3930,5225,4088,핸는데,H AE n _ N EU n _ D E,h ɛː nː ɨ n d e,H AE N EU N D E,different_rule_roman,1,mismatch_not_eligible,mismatch_not_eligible,neutralize|nasal_assim,[],[],[],review_rule_sensitive_no_attested_agreement,surface-rule target differs from r2 without independent dictionary agreement,true,false
high_frequency:mismatch_not_eligible,보면은,보며는,25225,2559,5971,4172,3228,4835,4460,보며는,B O _ M YEO _ N EU n,p o mʲ ʌ n ɨ n,B O M EO N EU N,different_rule_roman,1,mismatch_not_eligible,mismatch_not_eligible,liaison,[],[],[],review_rule_sensitive_no_attested_agreement,surface-rule target differs from r2 without independent dictionary agreement,true,false
high_frequency:mismatch_not_eligible,몇,멷,22483,2120,5902,4033,2951,3875,3602,멷,M YEO t,mʲ ʌː t̚,M EO t,different_rule_roman,1,mismatch_not_eligible,mismatch_not_eligible,neutralize,"[""멷""]","[""M YEO t""]","[""NIKL_lexicon_full_v2:pron_1""]",candidate_replace_rule_dictionary_agree,"surface rule and dictionary evidence agree, but r2 phones differ",true,false
high_frequency:mismatch_not_eligible,있잖아,읻짜나,22027,1201,9147,5190,1635,3605,1249,읻짜나,I t _ JJ A _ N A,iː tɕ͈ː tɕ͈ ɐ n ɐ,I JJ JJ A N A,different_rule_roman,1,mismatch_not_eligible,mismatch_not_eligible,h_deletion|liaison|neutralize|fortis,"[""읻짜나""]","[""I t _ JJ A _ N A""]","[""NIKL_lexicon_full_legacy:pron_g2p""]",candidate_replace_rule_dictionary_agree,"surface rule and dictionary evidence agree, but r2 phones differ",true,false
high_frequency:mismatch_not_eligible,만약에,마냐게,17915,1702,6379,2887,2125,2880,1942,마냐게,M A _ N YA _ G E,m ɐ ɲ ɐ ɡ e,M A N A G E,different_rule_roman,1,mismatch_not_eligible,mismatch_not_eligible,liaison,"[""마냐게""]","[""M A _ N YA _ G E""]","[""NIKL_lexicon_full_legacy:pron_g2p""]",candidate_replace_rule_dictionary_agree,"surface rule and dictionary evidence agree, but r2 phones differ",true,false
high_frequency:mismatch_not_eligible,최근에,최그네,17570,1893,2874,2329,2484,4131,3859,최그네,CH OE _ G EU _ N E,tɕʷ eː ɡ ɨ n e,J E G EU N E,different_rule_roman,2,mismatch_not_eligible,mismatch_not_eligible,liaison,[],[],[],review_rule_sensitive_no_attested_agreement,surface-rule target differs from r2 without independent dictionary agreement,true,false
high_frequency:mismatch_not_eligible,있습니다,읻씀니다,17158,2395,386,770,2883,2463,8261,읻씀니다,I t _ SS EU m _ N I _ D A,iː tɕ͈ː s͈ ɨ m ɲ i d ɐ,I JJ SS EU M N I D A,different_rule_roman,1,mismatch_not_eligible,mismatch_not_eligible,neutralize|nasal_assim|fortis,[],[],[],review_rule_sensitive_no_attested_agreement,surface-rule target differs from r2 without independent dictionary agreement,true,false
high_frequency:mismatch_not_eligible,그러면은,그러며는,16518,1317,4961,3568,1692,2907,2073,그러며는,G EU _ R EO _ M YEO _ N EU n,k ɨ ɾ ʌ mʲ ʌ n ɨ n,G EU R EO M EO N EU N,different_rule_roman,1,mismatch_not_eligible,mismatch_not_eligible,liaison,[],[],[],review_rule_sensitive_no_attested_agreement,surface-rule target differs from r2 without independent dictionary agreement,true,false
