review_order,selection_reasons,diagnostic_layer,diagnostic_class,comparison_edit_distance,edit_signature,target_count,source_type_count,total_occurrences,count_2020,count_2021,count_2022,count_2023,count_2024,count_2025,mismatch_occurrence_percent,example_targets_json,example_tokens_json,proposed_policy,review_question_ko,decision,notes,automatic_equivalence_approved
20,top_30_by_occurrence;top_5_within_class,representation_equivalence_candidate,secondary_articulation_encodes_glide,2,RULE_ONLY:Y;RULE_ONLY:Y,6389,6404,24188,3662,4504,3362,3309,4250,5101,0.865,"[""가격때며는"", ""가격때여쓰면"", ""가격때죠"", ""가경면도"", ""가경며네서""]","[""가격대면은"", ""가격대였으면"", ""가격대죠"", ""가격면도"", ""가격면에서""]",review_model_unitization_equivalence,palatal/labial phone 하나가 규칙 Roman Y/W를 포함하는 표상으로 인정할 수 있는가?,pending,,false
21,top_30_by_occurrence;top_5_within_class,substantive_difference_candidate,multiple_segment_count_difference,2,RULE_ONLY:G;RULE_ONLY:Y,797,798,23971,3938,4564,3846,2652,5574,3397,0.857,"[""각꼐"", ""각꼐각층의"", ""각꼐에"", ""간식꼄"", ""간호대학꾜를""]","[""각계"", ""각계각층의"", ""각계에"", ""간식겸"", ""간호대학교를""]",reject_automatic_g2p_selection_seek_alternative_projection,규칙 단위와 실질적으로 달라 G2P 자동 선택에서 제외하고 규칙 기반 phone projection을 찾을 것인가?,pending,,false
22,top_30_by_occurrence,substantive_difference_candidate,single_cross_group_substitution,1,SUB:M>NG,3079,3079,23071,2467,4658,2939,3431,4033,5543,0.825,"[""가공푸므로"", ""가공푸믄"", ""가성비드를"", ""가성비시게서"", ""가성비여써요""]","[""가공품으로"", ""가공품은"", ""가성비들을"", ""가성비식에서"", ""가성비였어요""]",reject_automatic_g2p_selection_seek_alternative_projection,규칙 단위와 실질적으로 달라 G2P 자동 선택에서 제외하고 규칙 기반 phone projection을 찾을 것인가?,pending,,false
23,top_30_by_occurrence;top_5_within_class,substantive_difference_candidate,mixed_or_cross_group_difference,2,SUB:B>P;RULE_ONLY:Y,673,676,22656,1841,6897,3176,2413,3901,4428,0.81,"[""가라이피면"", ""걸피타면"", ""구피느뇨"", ""구피려고"", ""구피면""]","[""갈아입히면"", ""걸핏하면"", ""구피는요"", ""굽히려고"", ""굽히면""]",reject_automatic_g2p_selection_seek_alternative_projection,규칙 단위와 실질적으로 달라 G2P 자동 선택에서 제외하고 규칙 기반 phone projection을 찾을 것인가?,pending,,false
24,top_30_by_occurrence;top_5_within_class,representation_equivalence_candidate,combined_length_and_glide_encoding,2,RULE_ONLY:Y;RULE_ONLY:N,2372,2381,16435,2837,2402,1939,2922,2663,3672,0.588,"[""가격때연는데"", ""가겨기언는데"", ""가까우션나요"", ""가까워젼는데"", ""가능해젼나""]","[""가격대였는데"", ""가격이었는데"", ""가까우셨나요"", ""가까워졌는데"", ""가능해졌나""]",review_model_unitization_equivalence,장음 병합과 Y/W 흡수를 함께 model phone 표상 차이로 인정할 수 있는가?,pending,,false
25,top_30_by_occurrence;top_5_within_class,representation_equivalence_candidate,length_supported_adjacent_identical_coalescence,1,RULE_ONLY:M,1369,1372,16168,1623,3804,2771,2410,2613,2947,0.578,"[""가림막또"", ""가림망만"", ""가림마근"", ""가림마글"", ""가림마기""]","[""가림막도"", ""가림막만"", ""가림막은"", ""가림막을"", ""가림막이""]",review_model_unitization_equivalence,장음 phone 하나가 같은 규칙 단위 둘을 나타내는 표상으로 인정할 수 있는가?,pending,,false
26,top_30_by_occurrence;top_5_within_class,representation_equivalence_candidate,secondary_articulation_encodes_glide,2,RULE_ONLY:Y;RULE_ONLY:W,2024,2025,14683,1794,2538,2439,2130,2814,2968,0.525,"[""가격꽈"", ""가르쳐줘야마니"", ""가르쳐줟따는"", ""가르쳐줟떤"", ""가르쳐줘써""]","[""가격과"", ""가르쳐줘야만이"", ""가르쳐줬다는"", ""가르쳐줬던"", ""가르쳐줬어""]",review_model_unitization_equivalence,palatal/labial phone 하나가 규칙 Roman Y/W를 포함하는 표상으로 인정할 수 있는가?,pending,,false
27,top_30_by_occurrence;top_5_within_class,contrast_review_required,single_contrast_within_acoustic_model_group,1,SUB:D>T,2225,2230,13745,1122,2730,2748,1911,3310,1924,0.491,"[""가구주택쪼사"", ""가스라이팅하드시"", ""가티거나"", ""가티거든"", ""가티게""]","[""가구주택조사"", ""가스라이팅하듯이"", ""갇히거나"", ""갇히거든"", ""갇히게""]",preserve_phonological_contrast_hold,같은 acoustic group이어도 평음·격음·경음 대립을 자동 합치지 않는 정책을 유지할 것인가?,pending,,false
28,top_30_by_occurrence;top_5_within_class,contrast_review_required,single_contrast_within_acoustic_model_group,1,SUB:B>P,2677,2686,12932,1198,2775,2080,1773,2657,2449,0.462,"[""가니캠핑이라"", ""갈대수피"", ""가라이피고"", ""가라이피는"", ""가라이피는데""]","[""간이캠핑이라"", ""갈대숲이"", ""갈아입히고"", ""갈아입히는"", ""갈아입히는데""]",preserve_phonological_contrast_hold,같은 acoustic group이어도 평음·격음·경음 대립을 자동 합치지 않는 정책을 유지할 것인가?,pending,,false
29,top_30_by_occurrence,substantive_difference_candidate,mixed_or_cross_group_difference,2,RULE_ONLY:Y;SUB:N>NG,1837,1837,10974,1432,2637,1474,1709,1995,1727,0.392,"[""가조겨행도"", ""가조겨행들"", ""가조겨행지가"", ""가고경장이"", ""가보경장""]","[""가족여행도"", ""가족여행들"", ""가족여행지가"", ""각오경장이"", ""갑오경장""]",reject_automatic_g2p_selection_seek_alternative_projection,규칙 단위와 실질적으로 달라 G2P 자동 선택에서 제외하고 규칙 기반 phone projection을 찾을 것인가?,pending,,false
30,top_30_by_occurrence;top_5_within_class,representation_equivalence_candidate,combined_length_and_glide_encoding,2,RULE_ONLY:W;RULE_ONLY:L,746,748,10714,1183,2355,1511,1495,1690,2480,0.383,"[""간호괄리학"", ""공그붠들로만"", ""과목뜰로만"", ""과실라무"", ""과실라무는""]","[""간호관리학"", ""공급원들로만"", ""과목들로만"", ""과실나무"", ""과실나무는""]",review_model_unitization_equivalence,장음 병합과 Y/W 흡수를 함께 model phone 표상 차이로 인정할 수 있는가?,pending,,false
31,top_5_within_class,substantive_difference_candidate,single_rule_unit_missing_from_candidate,1,RULE_ONLY:Y,919,929,6938,918,1423,1239,855,1454,1049,0.248,"[""갇쎧떤"", ""가튼데여"", ""걔가치"", ""걔네들마니"", ""걔네드레""]","[""갔셨던"", ""같은데여"", ""걔같이"", ""걔네들만이"", ""걔네들에""]",reject_automatic_g2p_selection_seek_alternative_projection,규칙 단위와 실질적으로 달라 G2P 자동 선택에서 제외하고 규칙 기반 phone projection을 찾을 것인가?,pending,,false
32,top_5_within_class,representation_equivalence_candidate,combined_length_and_glide_encoding,3,RULE_ONLY:W;RULE_ONLY:L;RULE_ONLY:Y,320,320,6369,682,1136,795,969,1440,1347,0.228,"[""공궐력"", ""공궐려게"", ""공궐려글"", ""과실류리"", ""과일류드른""]","[""공권력"", ""공권력에"", ""공권력을"", ""과실률이"", ""과일류들은""]",review_model_unitization_equivalence,장음 병합과 Y/W 흡수를 함께 model phone 표상 차이로 인정할 수 있는가?,pending,,false
33,top_5_within_class,substantive_difference_candidate,single_rule_unit_missing_from_candidate,1,RULE_ONLY:D,403,403,4656,551,1020,740,617,796,932,0.166,"[""갇쩌"", ""갇추게"", ""갇추구"", ""갇추는"", ""갇추라는""]","[""갔저"", ""갖추게"", ""갖추구"", ""갖추는"", ""갖추라는""]",reject_automatic_g2p_selection_seek_alternative_projection,규칙 단위와 실질적으로 달라 G2P 자동 선택에서 제외하고 규칙 기반 phone projection을 찾을 것인가?,pending,,false
34,top_5_within_class,substantive_difference_candidate,single_rule_unit_missing_from_candidate,1,RULE_ONLY:EU_G,481,481,3547,354,755,499,520,835,584,0.127,"[""가족까늬"", ""가족뜰가늬"", ""가족뜰마늬"", ""각뽀늬"", ""각짜들마늬""]","[""가족간의"", ""가족들간의"", ""가족들만의"", ""각본의"", ""각자들만의""]",reject_automatic_g2p_selection_seek_alternative_projection,규칙 단위와 실질적으로 달라 G2P 자동 선택에서 제외하고 규칙 기반 phone projection을 찾을 것인가?,pending,,false
35,top_5_within_class,contrast_review_required,single_contrast_within_acoustic_model_group,1,SUB:SS>S,577,578,3512,302,786,516,395,673,840,0.126,"[""감자새알심지베"", ""거진말시키고"", ""건물시그로"", ""건물시니라고"", ""구백팔시베""]","[""감자새알심집에"", ""거짓말시키고"", ""건물식으로"", ""건물신이라고"", ""구백팔십에""]",preserve_phonological_contrast_hold,같은 acoustic group이어도 평음·격음·경음 대립을 자동 합치지 않는 정책을 유지할 것인가?,pending,,false
36,top_5_within_class,representation_equivalence_candidate,length_supported_adjacent_identical_coalescence,2,RULE_ONLY:L;RULE_ONLY:N,345,349,3192,346,835,661,398,555,397,0.114,"[""갈라노안는데"", ""갈라핸는데"", ""개똥벌레연는데"", ""걸리겐나"", ""게을리핸나""]","[""갈라놓았는데"", ""갈라했는데"", ""개똥벌레였는데"", ""걸리겠나"", ""게을리했나""]",review_model_unitization_equivalence,장음 phone 하나가 같은 규칙 단위 둘을 나타내는 표상으로 인정할 수 있는가?,pending,,false
37,top_5_within_class,substantive_difference_candidate,single_rule_unit_missing_from_candidate,1,RULE_ONLY:NG,138,138,2849,409,930,430,305,407,368,0.102,"[""감행핻꼬"", ""감행핸는데요"", ""감행핻씀니다"", ""감행해쓸"", ""굴머중는""]","[""감행했고"", ""감행했는데요"", ""감행했습니다"", ""감행했을"", ""굶어죽는""]",reject_automatic_g2p_selection_seek_alternative_projection,규칙 단위와 실질적으로 달라 G2P 자동 선택에서 제외하고 규칙 기반 phone projection을 찾을 것인가?,pending,,false
38,top_5_within_class,contrast_review_required,multiple_contrasts_within_acoustic_model_group,2,SUB:B>P;SUB:D>T,101,101,2012,1,6,7,136,789,1073,0.072,"[""아이에네프피틴데"", ""에넬피팀"", ""지피티가치"", ""지피티바께"", ""지피티엳뜬지""]","[""아이엔에프피틴데"", ""엔엘피팀"", ""지피티같이"", ""지피티밖에"", ""지피티였든지""]",preserve_phonological_contrast_hold,같은 acoustic group이어도 평음·격음·경음 대립을 자동 합치지 않는 정책을 유지할 것인가?,pending,,false
39,top_5_within_class,substantive_difference_candidate,multiple_segment_count_difference,2,RULE_ONLY:Y;RULE_ONLY:EU_G,260,260,1661,205,380,180,183,390,323,0.059,"[""가며늬"", ""걔네들마늬"", ""걔네마늬"", ""걔마늬"", ""겨울마늬""]","[""가면의"", ""걔네들만의"", ""걔네만의"", ""걔만의"", ""겨울만의""]",reject_automatic_g2p_selection_seek_alternative_projection,규칙 단위와 실질적으로 달라 G2P 자동 선택에서 제외하고 규칙 기반 phone projection을 찾을 것인가?,pending,,false
40,top_5_within_class,contrast_review_required,single_contrast_within_acoustic_model_group,1,SUB:G>K,144,144,1326,190,129,92,689,123,103,0.047,"[""꺼내노키가"", ""끄너노키만"", ""내노키가"", ""내노키도"", ""내노키만""]","[""꺼내놓기가"", ""끊어놓기만"", ""내놓기가"", ""내놓기도"", ""내놓기만""]",preserve_phonological_contrast_hold,같은 acoustic group이어도 평음·격음·경음 대립을 자동 합치지 않는 정책을 유지할 것인가?,pending,,false
41,top_5_within_class,substantive_difference_candidate,single_candidate_unit_extra,1,CANDIDATE_ONLY:I,182,183,1028,66,163,126,166,216,291,0.037,"[""갑쌍샘"", ""갑쌍샘도"", ""갑쌍새맘"", ""갑쌍새마메"", ""갑쌍새마미""]","[""갑상샘"", ""갑상샘도"", ""갑상샘암"", ""갑상샘암에"", ""갑상샘암이""]",reject_automatic_g2p_selection_seek_alternative_projection,규칙 단위와 실질적으로 달라 G2P 자동 선택에서 제외하고 규칙 기반 phone projection을 찾을 것인가?,pending,,false
42,top_5_within_class,substantive_difference_candidate,multiple_segment_count_difference,2,RULE_ONLY:G;RULE_ONLY:W,237,237,1008,95,238,200,136,161,178,0.036,"[""가양역꽈"", ""가족꽌"", ""가조고락꽌"", ""간호학꽈의"", ""간호학꽌""]","[""가양역과"", ""가족관"", ""가족오락관"", ""간호학과의"", ""간호학관""]",reject_automatic_g2p_selection_seek_alternative_projection,규칙 단위와 실질적으로 달라 G2P 자동 선택에서 제외하고 규칙 기반 phone projection을 찾을 것인가?,pending,,false
43,top_5_within_class,substantive_difference_candidate,multiple_segment_count_difference,2,RULE_ONLY:Y;RULE_ONLY:G,200,200,987,149,226,163,140,129,180,0.035,"[""가계약끔"", ""가계약끔도"", ""가계약끔만"", ""강나멱까지"", ""강형욱끕""]","[""가계약금"", ""가계약금도"", ""가계약금만"", ""강남역까지"", ""강형욱급""]",reject_automatic_g2p_selection_seek_alternative_projection,규칙 단위와 실질적으로 달라 G2P 자동 선택에서 제외하고 규칙 기반 phone projection을 찾을 것인가?,pending,,false
44,top_5_within_class,substantive_difference_candidate,multiple_segment_count_difference,2,RULE_ONLY:D;RULE_ONLY:W,136,136,936,99,244,159,124,170,140,0.033,"[""갇추되"", ""갇춰노코"", ""갇춰놔야"", ""갇춰는"", ""갇춰야""]","[""갖추되"", ""갖춰놓고"", ""갖춰놔야"", ""갖춰는"", ""갖춰야""]",reject_automatic_g2p_selection_seek_alternative_projection,규칙 단위와 실질적으로 달라 G2P 자동 선택에서 제외하고 규칙 기반 phone projection을 찾을 것인가?,pending,,false
45,top_5_within_class,representation_equivalence_candidate,length_supported_adjacent_identical_coalescence,2,RULE_ONLY:N;RULE_ONLY:N,71,71,366,58,75,70,48,70,45,0.013,"[""건너간네"", ""건너간는데"", ""건너뛰언는데"", ""건너완는데"", ""건너썬는데""]","[""건너갔네"", ""건너갔는데"", ""건너뛰었는데"", ""건너왔는데"", ""건넜었는데""]",review_model_unitization_equivalence,장음 phone 하나가 같은 규칙 단위 둘을 나타내는 표상으로 인정할 수 있는가?,pending,,false
46,top_5_within_class,contrast_review_required,multiple_contrasts_within_acoustic_model_group,2,SUB:D>T;SUB:D>T,51,51,341,28,60,113,26,102,12,0.012,"[""거무팁티파게"", ""아이덴티티엳떤"", ""아이덴티티자나요"", ""아이엔티인티븐"", ""액티비티드른""]","[""거무팁팁하게"", ""아이덴티티였던"", ""아이덴티티잖아요"", ""아이엔티인팁은"", ""액티비티들은""]",preserve_phonological_contrast_hold,같은 acoustic group이어도 평음·격음·경음 대립을 자동 합치지 않는 정책을 유지할 것인가?,pending,,false
47,top_5_within_class,contrast_review_required,multiple_contrasts_within_acoustic_model_group,2,SUB:B>P;SUB:SS>S,58,59,301,8,106,67,28,49,43,0.011,"[""기피시서레"", ""기피시서를"", ""노피신"", ""도피시그로"", ""리필시기라서""]","[""기피시설에"", ""기피시설을"", ""높이신"", ""도피식으로"", ""리필식이라서""]",preserve_phonological_contrast_hold,같은 acoustic group이어도 평음·격음·경음 대립을 자동 합치지 않는 정책을 유지할 것인가?,pending,,false
48,top_5_within_class,contrast_review_required,single_contrast_within_acoustic_model_group,1,SUB:P>B,37,37,247,34,40,28,31,54,60,0.009,"[""간접뜽"", ""간접뜽을"", ""간접뜽이"", ""간접뜽이나"", ""간접뜽이라든지""]","[""간접등"", ""간접등을"", ""간접등이"", ""간접등이나"", ""간접등이라든지""]",preserve_phonological_contrast_hold,같은 acoustic group이어도 평음·격음·경음 대립을 자동 합치지 않는 정책을 유지할 것인가?,pending,,false
49,top_5_within_class,substantive_difference_candidate,single_candidate_unit_extra,1,CANDIDATE_ONLY:Y,18,18,129,11,42,16,15,30,15,0.005,"[""건모양은"", ""끋파놩은"", ""로켇빼송은"", ""망낻똥생은"", ""박뽀영은""]","[""겉모양은"", ""끝판왕은"", ""로켓배송은"", ""막냇동생은"", ""박보영은""]",reject_automatic_g2p_selection_seek_alternative_projection,규칙 단위와 실질적으로 달라 G2P 자동 선택에서 제외하고 규칙 기반 phone projection을 찾을 것인가?,pending,,false
50,all_unresolved_representation_patterns;top_5_within_class,representation_review_required,run_length_difference_without_complete_length_support,1,CANDIDATE_ONLY:I,24,24,94,10,26,19,6,10,23,0.003,"[""그립씀니다"", ""깁씀니다"", ""듣씹씀니다"", ""밉쌍이고"", ""빕쓰가""]","[""그립습니다"", ""깊습니다"", ""듯싶습니다"", ""밉상이고"", ""빕스가""]",hold_for_pattern_review,길이 차이를 지지하는 phone 표지가 없으므로 별도 보류할 것인가?,pending,,false
51,top_5_within_class,substantive_difference_candidate,single_candidate_unit_extra,1,CANDIDATE_ONLY:NG,32,32,73,2,43,13,7,5,3,0.003,"[""고액또"", ""고액뽀다는"", ""고우심니다"", ""너어두얻따가"", ""심사위원드른""]","[""고액도"", ""고액보다는"", ""고우십니다"", ""넣어두었다가"", ""심사위원들은""]",reject_automatic_g2p_selection_seek_alternative_projection,규칙 단위와 실질적으로 달라 G2P 자동 선택에서 제외하고 규칙 기반 phone projection을 찾을 것인가?,pending,,false
52,top_5_within_class,contrast_review_required,multiple_contrasts_within_acoustic_model_group,2,SUB:D>T;SUB:B>P,34,34,72,3,2,2,9,47,9,0.003,"[""아이에스티피엳떤"", ""아이에스티피임니다"", ""아이에스티피자나"", ""아이에스티피저긴"", ""아이엔티피드른""]","[""아이에스티피였던"", ""아이에스티피입니다"", ""아이에스티피잖아"", ""아이에스티피적인"", ""아이엔티피들은""]",preserve_phonological_contrast_hold,같은 acoustic group이어도 평음·격음·경음 대립을 자동 합치지 않는 정책을 유지할 것인가?,pending,,false
